kodi_projekti,emertimi,kodi_institucioni,kodi_programi,viti_fiskal,kodi_llogarie_ekonomike,burimi_i_financimit
PRJ-001189,Loti 3: “Mirëmbajtje “Full Risk” e pajisjeve të Shërbimit të SOK” për Spitalin Rajonal Gjirokastër”,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001190,Loti 2: “Mirëmbajtje “Full Risk” e pajisjeve të Shërbimit të Reanimacionit” për Spitalin Rajonal Gjirokastër ”,INST-0621,,2026,230,Financim i huaj
PRJ-001191,“Mirëmbajtje “Full Risk” të pajisjeve mjekësore për Spitalin Rajonal Gjirokastër” ndarë në lote,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001192,Loti 1: “Mirëmbajtje “Full Risk” e pajisjeve të Shërbimit të Pediatrisë” për Spitalin Rajonal Gjirokastër ”,INST-0621,,2026,230,Financim i huaj
PRJ-001193,Loti 3 Blerje pajisje për kabinetet  me drejtim shërbime sociale,INST-0621,,2026,231,Financim i huaj
PRJ-001194,Loti 4: Blerje pajisje për kabinetet e shërbimit të mjeteve të transportit,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001195,Loti 5: Blerje pajisje për kabinetet me drejtim termohidraulik,INST-0621,,2026,230,Financim i huaj
PRJ-001196,Loti 2 Blerje pajisje për kabinetet e hoteleri-turizëm,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001197,"“Laboratorë, pajisje makineri për repartet e praktikave profesionale”",INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001198,Loti 1: “Blerje pajisje për kabinetet elektroteknike,INST-0621,,2026,231,Financim i huaj
PRJ-001199,Blerje karburant diesel dhe benzine per nevojat e OSSH sh.a,INST-0623,,2026,231,Financim i huaj
PRJ-001200,Blerje Dru Zjarri,INST-0144,,2026,231,Buxheti i Shtetit
PRJ-001201,"RIKONSTRUKSION I RRUGËS ""KAMARE SHKOLLA"", CIFLIK",INST-0140,,2026,231,Financim i huaj
PRJ-001202,Rikualifikim urban Cerrik dhe shtrim rrugesh ne Bashkine Cerrik,INST-0119,,2026,230,Buxheti i Shtetit
PRJ-001203,Permiresimi I banesave ekzistuese per komunitete te varfra dhe te pafavorizuara,INST-0122,,2026,230,Buxheti i Shtetit
PRJ-001204,"Rikonstruksion i rrjetit TM, Tu me ABC dhe i kabinave ne fiderin F3R (Ujesjelles Ajror Rrile)",INST-0242,,2026,231,Të ardhura të trashiguara
PRJ-001205,"Sistemim asfaltim rruget e brendshme Kosmac, Faza II",INST-0174,,2026,231,Financim i huaj
PRJ-001206,Blerje Bilete Tiranë –  Cuzco - Tiranë,INST-1035,,2026,230,Të ardhura të trashiguara
PRJ-001207,Mirëmbajtje e mjeteve të transportit,INST-0464,,2026,231,Të ardhura të trashiguara
PRJ-001208,“Supervizion punimesh  per objektin :Ndertim i Impiantit te ujrave te perdorura (ITUN ) Bashkia Prrenjas”,INST-0969,,2026,230,Buxheti i Shtetit
PRJ-001209,Blerje pajisje elektronike,INST-0084,,2026,230,Të ardhura të trashiguara
PRJ-001210,"“Marrje automjeti me qira, për Agjencinë Shtetërore të Programit Strategjik dhe Koordinimit të Ndihmës”.",INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001211,Loti 4-Blerje kite dhe reagentë për Qendrën Socio-Shëndetësore Kamëz,INST-0621,,2026,231,Financim i huaj
PRJ-001212,"Loti 3-Blerje kite dhe reagentë për aparatin Hemix SFRI5 për Spitalin Psikiatrik ""Ali Mihali ""Vlorë",INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001213,"Loti 2-Blerje kite dhe reagentë për aparatin Abacus 3CT për Spitalin Psikiatrik ""Ali Mihali ""Vlorë",INST-0621,,2026,230,Financim i huaj
PRJ-001214,"""Blerje kite dhe reagenë"" ndarë në 4(katër) lote:",INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001215,"Loti 1-Blerje kite dhe reagentë për aparatin fotometër, Mindray dhe Kenza Max për Spitalin Psikiatrik ""Ali Mihali ""Vlorë",INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001216,"Blerje ushqimesh per Konviktin ""20 Deshmoret""",INST-0144,,2026,231,Të ardhura të trashiguara
PRJ-001217,“Blerje Automjete për Administratën”,INST-0135,,2026,231,Të ardhura të trashiguara
PRJ-001218,Blerje lëndë djegëse pellet për ngrohje dhe shpërndarje në objektet arsimore,INST-0331,,2026,230,Financim i huaj
PRJ-001219,Masa parandaluese te rreshqitjes se shpatit te malit ne fshatin Kolonje,INST-0131,,2026,231,Financim i huaj
PRJ-001220,Loti 2:“Riparim dhe mirëmbajtje automjetesh të Drejtorisë së Shërbimit Spitalor Pukë”,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001221,“Riparim dhe mirëmbajtje automjetesh” ndarë në 2 (dy) Lote,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001222,Loti 1:“Riparim dhe mirëmbajtje e autoambulancave të Drejtorisë së Shërbimit Spitalor Kurbin”,INST-0621,,2026,230,Financim i huaj
PRJ-001223,Loti 1 - Furnizim-vendosje e pajisjes firewall,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001224,Loti 2 - Furnizim-vendosje e pajisjes storage server,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001225,"Blerje pajisje informatike, për KLSH për vitin 2026",INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001226,Loti 3 - Furnizim-vendosje pajisje kompjuterike,INST-0621,,2026,230,Financim i huaj
PRJ-001227,Shpenzime për mirëmbajten dhe operim të bazës së të dhënave të centralizuar të Portabiliteti të numrit (CRDB) dhe upgrade i sistemit të Portabilitetit të Numrit (CRDB) të AKEP.,INST-0102,,2026,231,Buxheti i Shtetit
PRJ-001228,"""Blerje pajisje elektronike F-V"",",INST-0503,,2026,231,Buxheti i Shtetit
PRJ-001229,"“Blerje materiale (Çakëll,Stabilizant) për investime në infrastruktuërn rrugore”- Marrëveshje Kuadër me një operator ekonomik ku të gjitha kushtet janë të përcaktuara me afat 12 muaj.",INST-0570,,2026,231,Të ardhura të trashiguara
PRJ-001230,“Blerje kostume për Ansamblin Popullor” për TKOBAP,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001231,Blerje motorë për mjetet lundruese të kufirit,INST-0621,,2026,231,Financim i huaj
PRJ-001232,Bileta të udhëtimit me destinacion në qytetin e Tiranës (Shqipëri) për Ministrinë e Mbrojtjes në datën 03 Gusht 2026,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-001233,“Ndërtimi i Godinës së spitalit për personat me Mjekim të Detyruar me Vendim Gjykate në IEVP Shënkoll Lezhe”.,INST-0621,,2026,230,Financim i huaj
PRJ-001234,Loti I: Pajisje elektrike për kopshtin dhe çerdhen,INST-0159,,2026,230,Financim i huaj
PRJ-001235,“Blerje shtylla druri dhe beton-arme”,INST-0234,,2026,231,Buxheti i Shtetit
PRJ-001236,"“Mbrojtje bregu nga grryerjet e lumit Drin, Bahçallek Bashkia Shkodër”.",INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001237,“Blerjen e biletave të transportit ajror ndërkombëtar”.,INST-0532,,2026,231,Buxheti i Shtetit
PRJ-001238,"Universiteti Politeknik I Tiranes do të zhvillojë procedurën e prokurimit per blerjen e biletave të transportit ajror ndërkombëtar, me objekt: Biletë vajtje - ardhje Tirane – Rome – Tirane per FAU per pjesemarje ne konferencen nderkombetare “Green urbanis",INST-1012,,2026,231,Të ardhura të trashiguara
PRJ-001239,"Universiteti Politeknik I Tiranes do të zhvillojë procedurën e prokurimit per blerjen e biletave të transportit ajror ndërkombëtar, me objekt: Biletë vajtje - ardhje, Tirane – Geneva (GVA) – Tirane, per FIM&IF ne kuader te bashkepunimit me CERN, Gjeneve (",INST-1012,,2026,230,Financim i huaj
PRJ-001240,"Biletë vajtje - ardhje Tirane – Eindhoven – Tirane per FAU per pjesemarje ne konferencen nderkombetare “Take care- Planetary Landscape Archtecture” ECLAS ne Delf, Hollande",INST-1012,,2026,231,Të ardhura të trashiguara
PRJ-001241,Bileta të udhëtimit për Ministrinë e Mbrojtjes në qytetet e Romës dhe Genovës (Itali) në datat 03 dhe 04 gusht – 05 dhe 06 gusht 2026.,INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-001242,“Shërbim implementimi ISO 27001”,INST-0961,,2026,231,Buxheti i Shtetit
PRJ-001243,"Blerje projekti per: Rikonstruksionin e shkolles ""Jani Minga""",INST-0175,,2026,231,Të ardhura të trashiguara
PRJ-001244,‘’Furnizim Vendosje Mates uji me ultratingull dhe Filter me karbon aktiv per ITUN Palase’’,INST-0957,,2026,230,Buxheti i Shtetit
PRJ-001245,Supervizion punimesh për objektin: “Ndërtimi i zyrave të reja të Drejtorisë së Përgjithshme të SHRUKD-së,INST-0961,,2026,231,Buxheti i Shtetit
PRJ-001246,"Studim projektim për ""Ndërtim i urës së Blezënckës, tip Bailey, Bashkia Skrapar""",INST-0170,,2026,231,Të ardhura të trashiguara
PRJ-001247,BLERJE MJETE TEKNOLOGJIKE PER DEZINFEKTIM DHE SPERKATJE,INST-0580,,2026,231,Të ardhura të trashiguara
PRJ-001248,Blerje paisje elektronike per shkollat,INST-0168,,2026,230,Financim i huaj
PRJ-001249,"F.V pajisje dhe mobilim per kopeshtin ""Rilindja"" dhe kopeshtet e bashkise Shijak",INST-0168,,2026,231,Financim i huaj
PRJ-001250,"Blerje makina tekonologjike,(grirese mbetje te gjelberta)""",INST-0151,,2026,230,Financim i huaj
PRJ-001251,"F.V pajisje dhe mobilim per kopeshtin ""Rilindja"" dhe kopeshtet e bashkise Shijak",INST-0168,,2026,230,Të ardhura të trashiguara
PRJ-001252,"Blerje makina tekonologjike,(grirese mbetje te gjelberta)""",INST-0151,,2026,230,Të ardhura të trashiguara
PRJ-001253,Blerje Kamioncinë me karroceri për grumbullimin dhe transportimin e mbetjeve të riciklueshme (karton dhe plastikë),INST-0405,,2026,231,Financim i huaj
PRJ-001254,NGRITJA E INFRASTRUKTURËS KËRKIMORE PËR EXCELLENCE HUB UNINOVIS,INST-1016,,2026,231,Buxheti i Shtetit
PRJ-001255,"Hidroizolimi i objekteve arsimore dhe administrative ne Bashkine Vore""",INST-0581,,2026,231,Financim i huaj
PRJ-001256,Sherbim Mirembajtje i sistemit te Sigurise dhe Monitorimit te Burimeve Ujore  dhe Depove te Ujit Shoqerise Rajonale Ujesjelles Kanalizime”,INST-0963,,2026,230,Të ardhura të trashiguara
PRJ-001257,F.V materiale elektrike per ndriçim,INST-0174,,2026,230,Të ardhura të trashiguara
PRJ-001258,Blerje Gjenerator 150 KVA,INST-0405,,2026,230,Buxheti i Shtetit
PRJ-001259,Lyerje fasade dhe riparime të tjera për nevoja të Gjykatës së Shkallës së Parë të Juridiksionit të Përgjithshëm Tiranë,INST-0446,,2026,231,Financim i huaj
PRJ-001260,"Mbështetje për ngritjen e poleve të zhvillimit të integruar rural në partneritet me njësitë e vetëqeverisjes vendore dhe aktorë të tjerë lokalë dhe qendrorë: Ferma e dijes dhe agroturizmit të molleve, Korçë- Faza 3: Sistemi i Bujqesise inteligjente”",INST-0424,,2026,231,Buxheti i Shtetit
PRJ-001261,Lyerje fasade dhe riparime të tjera për nevoja të Gjykatës së Shkallës së Parë të Juridiksionit të Përgjithshëm Tiranë,INST-0446,,2026,230,Financim i huaj
PRJ-001262,"Mbështetje për ngritjen e poleve të zhvillimit të integruar rural në partneritet me njësitë e vetëqeverisjes vendore dhe aktorë të tjerë lokalë dhe qendrorë: Ferma e dijes dhe agroturizmit të molleve, Korçë- Faza 3: Sistemi i Bujqesise inteligjente”",INST-0424,,2026,230,Buxheti i Shtetit
PRJ-001263,"Sistemim, asfaltim i rrugeve ne Nj.Ad.Gjepalaj dhe Nj.Ad.Xhafzotaj (fshati Likesh, fshati Reth, Rruga Mustafa Bulku)",INST-0168,,2026,230,Buxheti i Shtetit
PRJ-001264,"“Përmirësim i infrastrukturës dhe rikonstruksion i bankinës T , prona 1150 Porto Palermo ”.",INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001265,Veshje me tavan dhe sistem ndriçimi i tendave në Terminalin e Hyrjes dhe Daljes të Doganës Kakavijë,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001266,Permiresim i banesave ekzistuese per komunitete te varfra dhe te pafavorizuara,INST-0119,,2026,231,Të ardhura të trashiguara
PRJ-001267,"Ndërtimi i rrugës së re nga Rotonda e varrezave deri në intersektimin me rrugën “Nos Josifi”, lagja Emin Matraxhiu",INST-0127,,2026,231,Të ardhura të trashiguara
PRJ-001268,"Sistemim-asfaltim i rruges se lagjes Çiflig ne fshatin Gjorice e siperme, Nj Adm Gjoricë.",INST-0118,,2026,230,Të ardhura të trashiguara
PRJ-001269,"Rehabilitimi i digës së rezervuarit Staraveckë, Bashkia Skrapar",INST-0170,,2026,231,Buxheti i Shtetit
PRJ-001270,Bileta të udhëtimit për Ministrinë e Bujqësisë dhe Zhvillimit Rural në qytetin e Tel Aviv (Izrael) në datat 10 Gusht – 27 Gusht 2026.,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-001271,Bileta të udhëtimit për Ministrinë e Bujqësisë dhe Zhvillimit Rural në qytetin e Tel Aviv (Izrael) në datat 10 Gusht – 27 Gusht 2026.,INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-001272,"Supervizim punimesh për objektin“Ndërtim rrjeti shpërndarës ujësjellësi për fshatin Tragjas dhe rehabilitim dhe vënie në funksion të KUZ, fshati Tragjas”",INST-0957,,2026,231,Financim i huaj
PRJ-001273,Hartim Projekti “Plani i Mbarështimit të Pyjeve në Bashkinë Durrës,INST-0126,,2026,231,Të ardhura të trashiguara
PRJ-001274,Mirëmbajtje e zakonshme e objekteve arsimore – kopshte,INST-0330,,2026,231,Buxheti i Shtetit
PRJ-001275,"""Plane rilevime topografike dhe planimetri për pronat e bashkisë Klos"".",INST-0138,,2026,231,Të ardhura të trashiguara
PRJ-001276,Blerje kamion grumbullimi mbeturinash veteshkarkues,INST-0563,,2026,230,Buxheti i Shtetit
PRJ-001277,Ndërtim godine për zyra për MZSH,INST-0126,,2026,231,Buxheti i Shtetit
PRJ-001278,Loti 2: “Mirëmbajtje “Full Risk” e pajisjeve mjekësore” për Spitalin Rajonal Lezhë”,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001279,“Mirëmbajtje “Full Risk” të pajisjeve mjekësore” ndarë në lote,INST-0621,,2026,231,Financim i huaj
PRJ-001280,Loti 1: “Mirëmbajtje “Full Risk” e pajisjeve mjekësore” për Spitalin Rajonal Durrës”,INST-0621,,2026,230,Financim i huaj
PRJ-001281,Blerje materiale te imta,INST-0342,,2026,230,Buxheti i Shtetit
PRJ-001282,"Blerja e 2 (dy) biletave për transport ajror Amsterdam, Holandë - Tiranë, Shqipëri – Amsterdam, Holandë",INST-0334,,2026,231,Të ardhura të trashiguara
PRJ-001283,Blerje vegla pune per oficine dhe rregullimin e kazaneve e 150 bidone 120lt,INST-0404,,2026,231,Të ardhura të trashiguara
PRJ-001284,Blerje ene kuzhine,INST-0342,,2026,230,Të ardhura të trashiguara
PRJ-001285,Zgjerim dhe shtesë kati për AQTN,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001286,"Ndertim i kabinave te reja 20kV dhe lidhje unazore e fiderave ne pikat kritike ne Rajonin Tirane ne N/Stacionet Farke, Qender dhe Kashar, Ndroq",INST-0243,,2026,231,Të ardhura të trashiguara
PRJ-001287,Rikonstruksion i Rrugëve në Njësinë Administrative Katund i Ri,INST-0126,,2026,230,Të ardhura të trashiguara
PRJ-001288,Riparim i digave ekzistuese te liqeneve akullnajore nr.1 dhe nr.2 Kusar dhe rikonstruksioni i kanalit te Malit Kusar-Fushe Studen-Letem (L=11 km per 900ha),INST-0148,,2026,230,Financim i huaj
PRJ-001289,Loti 5 Blerje oksigjen per Rajonin e Jugut,INST-0621,,2026,230,Financim i huaj
PRJ-001290,Loti 8 Blerje oksigjen gaz për Rajonin Jug-Lindje,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001291,Riparim i digave ekzistuese te liqeneve akullnajore nr.1 dhe nr.2 Kusar dhe rikonstruksioni i kanalit te Malit Kusar-Fushe Studen-Letem (L=11 km per 900ha),INST-0148,,2026,230,Financim i huaj
PRJ-001292,Loti 5 Blerje oksigjen per Rajonin e Jugut,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001293,Loti 8 Blerje oksigjen gaz për Rajonin Jug-Lindje,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001294,Loti 7 Blerje oksigjen Lëng për Rajonin Jug-Lindje,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001295,Loti 6 Blerje oksigjen gaz për Rajonin e Jugut,INST-0621,,2026,231,Financim i huaj
PRJ-001296,Loti 4 Blerje oksigjen gaz për Rajonin e Veriut,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001297,Loti 3: Blerje oksigjen leng per Rajonin e Veriut,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001298,"Loti 2 ""Blerje oksigjen gaz"" për Rajonin Qendror",INST-0621,,2026,231,Financim i huaj
PRJ-001299,“Blerje Okisigjen” Ndarë në Lote,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001300,"Loti 1 :Blerje oksigjen leng"" për Rajonin Qendror",INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001301,“Blerje Okisigjen” Ndarë në Lote,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001302,"Loti 1 :Blerje oksigjen leng"" për Rajonin Qendror",INST-0621,,2026,230,Financim i huaj
PRJ-001303,"Supervizion punimesh për objektin Rrjeti i Ujësjellësit të fshatrave Zhamë, Gramsh, Konjat, Dushk, Thanasaj Njesia administrative Dushk, Bashkia Lushnje",INST-0968,,2026,230,Buxheti i Shtetit
PRJ-001304,Blerje bazë materiale për ndërtim kuz në fshatin Grizë Lënginas,INST-0156,,2026,231,Financim i huaj
PRJ-001305,Blerje dyer të brendshme për institucionin ARRSH Qendër,INST-0099,,2026,231,Të ardhura të trashiguara
PRJ-001306,Blerje Zjarrefikese,INST-0129,,2026,231,Financim i huaj
PRJ-001307,"""Blerje buldozier""",INST-0164,,2026,230,Të ardhura të trashiguara
PRJ-001308,Rikonstruksion i shtepisë së femijës (6-15) vjeç,INST-0169,,2026,231,Financim i huaj
PRJ-001309,Blerje mjeti transporti (autobus) për ekipet sportive të Qendrës “Klubi Sportiv Tirana”,INST-0889,,2026,230,Të ardhura të trashiguara
PRJ-001310,Rikonstruksion i skenes se demtuar nga zjarri tek  Pallati i Kultures,INST-0122,,2026,231,Të ardhura të trashiguara
PRJ-001311,Rikonstruksion i skenes se demtuar nga zjarri tek  Pallati i Kultures,INST-0122,,2026,231,Buxheti i Shtetit
PRJ-001312,Sherbime per rritjen e sigurise rrugore,INST-0586,,2026,230,Të ardhura të trashiguara
PRJ-001313,Mirëmbajtja e sistemit DMDC në KESH për 3 vite dhe upgrade për integrimin e kapaciteteve të reja gjeneruese,INST-0921,,2026,231,Financim i huaj
PRJ-001314,Terrene sportive (funizim/vendosje Bar Sintetik 5 cm për rehabilitimin e terrneve sportive),INST-0128,,2026,230,Të ardhura të trashiguara
PRJ-001315,Blerje 3000 kazane mbeturinash,INST-0404,,2026,230,Buxheti i Shtetit
PRJ-001316,Rikonstruksioni i rrugës Borsh-Çorraj,INST-0134,,2026,231,Financim i huaj
PRJ-001317,Ndërtim Unaza e Brendshme Vaqarr,INST-0172,,2026,231,Buxheti i Shtetit
PRJ-001318,Krijimi dhe rikualifikimi i hapesirave rekreative per femijet ne Bashkine Shkoder (Projekti A luajme bashke?- Zbatim),INST-0586,,2026,230,Të ardhura të trashiguara
PRJ-001319,Blerje bileta avioni Tiranë- Bukuresht- Tiranë,INST-0541,,2026,231,Buxheti i Shtetit
PRJ-001320,BLERJE STANDARTE DROGE DHE STANDARTE EKSPLOZIVI,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001321,BLERJE STANDARTE DROGE DHE STANDARTE EKSPLOZIVI,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001322,"Rindertimi i mureve rrethues pergjate projektit per rikonstruksionin e rrugeve""Myslym Gjoleka, Ahmet Lepenica,Hysni Muka"", ne lagjen ""Kushtrimi"", Vlore",INST-0175,,2026,231,Buxheti i Shtetit
PRJ-001323,Shërbim Gatimi dhe shpërndarje ushqimi (katering) në pavionet e Spitalit Rajonal Shkodër,INST-0621,,2026,231,Financim i huaj
PRJ-001324,Loti III – “Blerje benzinë pa plumb për automjete”,INST-0330,,2026,230,Të ardhura të trashiguara
PRJ-001325,Loti II – “Blerje gazoil për kaldaja”,INST-0330,,2026,231,Financim i huaj
PRJ-001326,Blerje automjete elektrike për DSHQ.,INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-001327,"Blerje lëndë djegëse, karburant (Naftë,benzinë)",INST-0330,,2026,230,Financim i huaj
PRJ-001328,Loti I – “Blerje gazoil për automjete”,INST-0330,,2026,230,Të ardhura të trashiguara
PRJ-001329,Ndërtim rruga Kashar - Nyja Vaqarr Faza III,INST-0099,,2026,231,Financim i huaj
PRJ-001330,Loti 2: “Trajtimin dhe evadimin e Mbetjeve të Rrezikshme Spitalore” për DSHS Kurbin”,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001331,Loti 2: “Trajtimin dhe evadimin e Mbetjeve të Rrezikshme Spitalore” për DSHS Kurbin”,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001332,“Shërbim i evadimit të Mbetjeve të Rrezikshme Spitalore” ndarë në lote,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001333,Loti 1: “Shërbim i  evadimit të Mbetjeve të Rrezikshme Spitalore” për DSHS Sarandë”.,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001334,"Ndërhyrje për përmirësimin e aksesit, konektivitetit & mobilitetit rajonal dhe lokal: Rikonstruksion i rruges “Vath Turja” dhe “Rinia” Lot 3",INST-0424,,2026,230,Financim i huaj
PRJ-001335,Blerje materiale pastrimi,INST-0331,,2026,231,Buxheti i Shtetit
PRJ-001336,"Ndertim i Ujesjellesit per fshatrat, Rrodokal i poshtem,Rrodokal i siperm, Homezh, Homcan",INST-0969,,2026,230,Buxheti i Shtetit
PRJ-001337,"Bileta të udhëtimit për Ministrinë e Ekonomisë dhe Inovacionit, Drejtoria e Përgjithshme e Pronësisë Industriale me itinerarin Gjenevë-Tiranë  në datën 05 gusht 2026.",INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-001338,Blerje eskavator me goma,INST-0150,,2026,231,Buxheti i Shtetit
PRJ-001339,Bileta të udhëtimit për Ministrinë për Evropën dhe Punët e Jashtme  në Londër në datat 28 korrik-02 gusht 2026.,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-001340,Bileta të udhëtimit për Ministrinë e Mbrojtjes në qytetin e Varshavës (Poloni) në datën 30 korrik 2026.,INST-0364,,2026,231,Të ardhura të trashiguara
PRJ-001341,"“Sigurim TPL+ KASKO për autoambulancat e reja për QKUM""",INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001342,“Hartimi i studimit të fizibilitetit dhe planit të biznesit për zhvillimin e sektorit të blegtorisë”,INST-0172,,2026,230,Buxheti i Shtetit
PRJ-001343,Mirembajtje dhe lyerje shkollash per vitin 2026,INST-0119,,2026,231,Buxheti i Shtetit
PRJ-001344,"Studim Projektim  “Rikonstruksion i Kanalit Ujitës KU Bovillë, dega Pinar-Qinam”",INST-0337,,2026,230,Financim i huaj
PRJ-001345,Blerje karburante për vitin 2026 (Gazoil dhe Benzinë).,INST-0965,,2026,230,Financim i huaj
PRJ-001346,Blerje Gazoil (Diesel) për automjete,INST-0435,,2026,231,Financim i huaj
PRJ-001347,Blerje karburanti (Gazoil/Diesel dhe benzinë pa plumb) për automjete,INST-0435,,2026,231,Financim i huaj
PRJ-001348,Blerje benzinë pa plumb për automjete,INST-0435,,2026,231,Të ardhura të trashiguara
PRJ-001349,Blerje matriali ngjeshes per rruget rurale,INST-0157,,2026,231,Buxheti i Shtetit
PRJ-001350,Materiale ndertimi Blerje materiale ndertimi për kanalin vaditës Zenelaj-Çepunë,INST-0131,,2026,231,Financim i huaj
PRJ-001351,"Furnizim me ushqime për qendrën ditore ""Midis Nesh""",INST-0170,,2026,231,Të ardhura të trashiguara
PRJ-001352,"“Punime rehabilitimi dhe mbrojtje lumore, Bashkia Kolonjë, viti 2026”",INST-0139,,2026,231,Financim i huaj
PRJ-001353,Kolaudimi i fikseve t? zjarrit q? ndodhen n? ambientet e Arkiv?s s? Dokumentacionit t? Mbyllur,INST-0338,,2026,231,Buxheti i Shtetit
PRJ-001354,"Rikonstruksioni I shkolles 9-vjecare ne fshatin Rabdisht, Nj.A Melan, Bashkia Diber",INST-0122,,2026,230,Financim i huaj
PRJ-001355,Sherbim per studim projektim objektesh,INST-0162,,2026,230,Të ardhura të trashiguara
PRJ-001356,"Mbështetje për Programin Operacional 2026-2029: Paketa G- Shërbime Konsulence, Projektimi dhe Mbikëqyrje për Ndërtimi i nyjeve multimodale të mobilitetit, etj)”.",INST-0424,,2026,230,Financim i huaj
PRJ-001357,“Rinovim të licencave “Veeam Backup and Replication” dhe “Veeam Backup for Microsoft 365”,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-001358,Blerje dru zjarri për shkollat,INST-0046,,2026,231,Financim i huaj
PRJ-001359,Studim – Projektim për “Ndërtim i Qendrës Multifunksionale në ambjentet e Qendrës së Formimit Profesional Publik nr.4 Tiranë,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001360,Reagentë Imunologjikë - Projekti IMUNOGEN-2026,INST-0084,,2026,231,Financim i huaj
PRJ-001361,Blerje kite/reagentë për projektet Imunogen dhe Popgen-2,INST-0084,,2026,231,Të ardhura të trashiguara
PRJ-001362,Reagentë të biologjisë molekulare,INST-0084,,2026,230,Të ardhura të trashiguara
PRJ-001363,Loti 2 -“Blerje pajisje dhe orendi zyre për Avokaturën e Shtetit”,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001364,“Blerje pajisje dhe orendi zyre” ndarë në dy lote:,INST-0621,,2026,230,Financim i huaj
PRJ-001365,Loti 1 - “Blerje pajisje dhe orendi zyre për Bibliotekën Kombëtare”,INST-0621,,2026,231,Financim i huaj
PRJ-001366,LOTI 3: BLERJE TELEVIZOR DHE FRIGORIFER,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-001367,LOTI 2: MOBILJE DHE PAJISJE PËR PËRDORIME SPITALORE,INST-0621,,2026,231,Financim i huaj
PRJ-001368,"BLERJE ORENDISH DHE PAJISJESH PËR MOBILIM PËR GODINËN E KORPUSIT QËNDROR (URGJENCA, BLLOKU OPERATOR DHE IMAZHERIA – OBJEKT RIKONSTRUKSIONI)",INST-0621,,2026,231,Buxheti i Shtetit
PRJ-001369,LOTI 1: MOBILJE DHE PAJISJE PËR PËRDORIM ZYRE DHE AMBJENTE TË TJERA,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-001370,Blerje benzine pa plumb,INST-0434,,2026,231,Të ardhura të trashiguara
PRJ-001371,Blerje karburant,INST-0434,,2026,230,Financim i huaj
PRJ-001372,Blerje nafte Gazoil D1 (Diesel 10 ppm)  Loti 1,INST-0434,,2026,231,Të ardhura të trashiguara
PRJ-001373,Kompletimi me pajisje informatike  dhe teknologjike (TIK) jo sipas standarteve  të AKSH-it të dy godinave (fakultet /mensë të Akademisë së Forcave të Armatosura,INST-0621,,2026,231,Financim i huaj
PRJ-001374,Rikonstruksion i Morgut të Spitalit Rajonal Dibër,INST-0621,,2026,231,Buxheti i Shtetit
