kodi_projekti,referenca_kerkeses_obp,real_ref_no,chain_status,numri_angazhimit,numri_kontrates,real_winner_nipt,real_contract_value,numri_fatures,fature_statusi,numri_urdherit_shpenzimit,contract_link_is_real_match
PRJ-002291,REQ-002292,REF-88418-06-02-2026,procured_and_contracted,ANG-0001687,KontratëNr-0001688,L81325026K,82800.0,FAT-0003286,pranuar,URDH-0002996,False
PRJ-002292,REQ-002293,REF-88444-06-02-2026,procured_and_contracted,ANG-0001694,KontratëNr-0001695,M03002001N,798190.0,FAT-0003297,pranuar,URDH-0003006,False
PRJ-002292,REQ-002293,REF-88444-06-02-2026,procured_and_contracted,ANG-0001694,KontratëNr-0001695,M03002001N,798190.0,FAT-0003298,pranuar,URDH-0003007,False
PRJ-002293,,,never_procured,,,,,,,,
PRJ-002294,REQ-002295,REF-88511-06-02-2026,procured_and_contracted,ANG-0001688,KontratëNr-0001689,K31528061N,42000.0,FAT-0003287,pranuar,URDH-0002997,False
PRJ-002295,REQ-002296,REF-88436-06-02-2026,procured_and_contracted,ANG-0001701,KontratëNr-0001702,M57403204K,970000.0,FAT-0003309,refuzuar,,False
PRJ-002295,REQ-002296,REF-88436-06-02-2026,procured_and_contracted,ANG-0001701,KontratëNr-0001702,M57403204K,970000.0,FAT-0003310,pranuar,URDH-0003017,False
PRJ-002296,REQ-002297,REF-88406-06-02-2026,procured_and_contracted,ANG-0001689,KontratëNr-0001690,M09801601L,41667.0,FAT-0003288,pranuar,URDH-0002998,False
PRJ-002297,REQ-002298,REF-88404-06-02-2026,procured_and_contracted,ANG-0001690,KontratëNr-0001691,J71519004W,690000.0,FAT-0003289,pranuar,URDH-0002999,False
PRJ-002297,REQ-002298,REF-88404-06-02-2026,procured_and_contracted,ANG-0001690,KontratëNr-0001691,J71519004W,690000.0,FAT-0003290,refuzuar,,False
PRJ-002298,REQ-002299,REF-88390-06-02-2026,procured_and_contracted,ANG-0001691,KontratëNr-0001692,M51602049J,97000.0,FAT-0003291,pranuar,URDH-0003000,False
PRJ-002299,REQ-002300,REF-88372-06-02-2026,procured_and_contracted,ANG-0001692,KontratëNr-0001693,M51602049J,244000.0,FAT-0003292,pranuar,URDH-0003001,False
PRJ-002299,REQ-002300,REF-88372-06-02-2026,procured_and_contracted,ANG-0001692,KontratëNr-0001693,M51602049J,244000.0,FAT-0003293,pranuar,URDH-0003002,False
PRJ-002300,REQ-002301,REF-88490-06-02-2026,procured_and_contracted,ANG-0001693,KontratëNr-0001694,L92204011T,98890.0,FAT-0003294,pranuar,URDH-0003003,False
PRJ-002300,REQ-002301,REF-88490-06-02-2026,procured_and_contracted,ANG-0001693,KontratëNr-0001694,L92204011T,98890.0,FAT-0003295,pranuar,URDH-0003004,False
PRJ-002300,REQ-002301,REF-88490-06-02-2026,procured_and_contracted,ANG-0001693,KontratëNr-0001694,L92204011T,98890.0,FAT-0003296,pranuar,URDH-0003005,False
PRJ-002301,REQ-002302,REF-88517-06-02-2026,procured_and_contracted,ANG-0001697,KontratëNr-0001698,M52213505B,698000.0,FAT-0003303,pranuar,URDH-0003012,False
PRJ-002301,REQ-002302,REF-88517-06-02-2026,procured_and_contracted,ANG-0001697,KontratëNr-0001698,M52213505B,698000.0,FAT-0003304,pranuar,URDH-0003013,False
PRJ-002302,REQ-002303,REF-88398-06-02-2026,procured_and_contracted,ANG-0001702,KontratëNr-0001703,L51706022H,16800000.0,FAT-0003311,pranuar,URDH-0003018,False
PRJ-002302,REQ-002303,REF-88398-06-02-2026,procured_and_contracted,ANG-0001702,KontratëNr-0001703,L51706022H,16800000.0,FAT-0003312,pranuar,URDH-0003019,False
PRJ-002302,REQ-002303,REF-88398-06-02-2026,procured_and_contracted,ANG-0001702,KontratëNr-0001703,L51706022H,16800000.0,FAT-0003313,refuzuar,,False
PRJ-002303,REQ-002304,REF-88388-06-02-2026,procured_and_contracted,ANG-0001703,KontratëNr-0001704,L62205052L,296091000.0,FAT-0003314,pranuar,URDH-0003020,False
PRJ-002304,REQ-002305,REF-88396-06-02-2026,procured_and_contracted,ANG-0001704,KontratëNr-0001705,L41825004O,159650.0,FAT-0003315,refuzuar,,False
PRJ-002305,REQ-002306,REF-88454-06-02-2026,procured_and_contracted,ANG-0001698,KontratëNr-0001699,K31610091Q,99920.0,FAT-0003305,pranuar,URDH-0003014,False
PRJ-002306,REQ-002307,REF-88293-06-01-2026,procured_and_contracted,ANG-0001707,KontratëNr-0001708,K97730102T,1957150.0,FAT-0003320,pranuar,URDH-0003024,False
PRJ-002306,REQ-002307,REF-88293-06-01-2026,procured_and_contracted,ANG-0001707,KontratëNr-0001708,K97730102T,1957150.0,FAT-0003321,pranuar,URDH-0003025,False
PRJ-002307,,,never_procured,,,,,,,,
PRJ-002308,,,never_procured,,,,,,,,
PRJ-002309,,,never_procured,,,,,,,,
PRJ-002310,,,never_procured,,,,,,,,
PRJ-002311,,,never_procured,,,,,,,,
PRJ-002312,,,never_procured,,,,,,,,
PRJ-002313,,,never_procured,,,,,,,,
PRJ-002314,,,never_procured,,,,,,,,
PRJ-002315,,,never_procured,,,,,,,,
PRJ-002316,REQ-002317,REF-88309-06-01-2026,procured_and_contracted,ANG-0001676,KontratëNr-0001677,L31615017L,6728520.0,FAT-0003268,pranuar,URDH-0002978,False
PRJ-002316,REQ-002317,REF-88309-06-01-2026,procured_and_contracted,ANG-0001676,KontratëNr-0001677,L31615017L,6728520.0,FAT-0003269,pranuar,URDH-0002979,False
PRJ-002317,REQ-002318,REF-88311-06-01-2026,procured_and_contracted,ANG-0001677,KontratëNr-0001678,K11723003M,100000.0,FAT-0003270,pranuar,URDH-0002980,False
PRJ-002318,REQ-002319,REF-88306-06-01-2026,procured_and_contracted,ANG-0001678,KontratëNr-0001679,J97426216L,99300.0,FAT-0003271,pranuar,URDH-0002981,False
PRJ-002318,REQ-002319,REF-88306-06-01-2026,procured_and_contracted,ANG-0001678,KontratëNr-0001679,J97426216L,99300.0,FAT-0003272,pranuar,URDH-0002982,False
PRJ-002319,REQ-002320,REF-88298-06-01-2026,procured_and_contracted,ANG-0001674,KontratëNr-0001675,,0.0,FAT-0003265,pranuar,URDH-0002975,False
PRJ-002320,REQ-002321,REF-88266-06-01-2026,procured_and_contracted,ANG-0001675,KontratëNr-0001676,L87219004F,97000.0,FAT-0003266,pranuar,URDH-0002976,False
PRJ-002320,REQ-002321,REF-88266-06-01-2026,procured_and_contracted,ANG-0001675,KontratëNr-0001676,L87219004F,97000.0,FAT-0003267,pranuar,URDH-0002977,False
PRJ-002321,REQ-002322,REF-88200-06-01-2026,procured_and_contracted,ANG-0001673,KontratëNr-0001674,L51419022R,311100.0,FAT-0003263,pranuar,URDH-0002973,False
PRJ-002321,REQ-002322,REF-88200-06-01-2026,procured_and_contracted,ANG-0001673,KontratëNr-0001674,L51419022R,311100.0,FAT-0003264,pranuar,URDH-0002974,False
PRJ-002322,REQ-002323,REF-88294-06-01-2026,procured_and_contracted,ANG-0001685,KontratëNr-0001686,,0.0,FAT-0003282,pranuar,URDH-0002992,False
PRJ-002323,REQ-002324,REF-88226-06-01-2026,procured_and_contracted,ANG-0001679,KontratëNr-0001680,M24716802D,1628000.0,FAT-0003273,pranuar,URDH-0002983,False
PRJ-002324,REQ-002325,REF-88158-06-01-2026,procured_and_contracted,ANG-0001680,KontratëNr-0001681,M33326401I,52333.0,FAT-0003274,pranuar,URDH-0002984,False
PRJ-002325,REQ-002326,REF-88139-06-01-2026,procured_and_contracted,ANG-0001681,KontratëNr-0001682,L71421032N,827000.0,FAT-0003275,pranuar,URDH-0002985,False
PRJ-002325,REQ-002326,REF-88139-06-01-2026,procured_and_contracted,ANG-0001681,KontratëNr-0001682,L71421032N,827000.0,FAT-0003276,pranuar,URDH-0002986,False
PRJ-002326,,,never_procured,,,,,,,,
PRJ-002327,,,never_procured,,,,,,,,
PRJ-002328,,,never_procured,,,,,,,,
PRJ-002329,,,never_procured,,,,,,,,
PRJ-002330,REQ-002331,REF-88282-06-01-2026,procured_and_contracted,ANG-0001682,KontratëNr-0001683,L52606201T,738000.0,FAT-0003277,pranuar,URDH-0002987,False
PRJ-002331,,,never_procured,,,,,,,,
PRJ-002332,REQ-002333,REF-88238-06-01-2026,procured_and_contracted,ANG-0001683,KontratëNr-0001684,K41420001V,489350.0,FAT-0003278,pranuar,URDH-0002988,False
PRJ-002332,REQ-002333,REF-88238-06-01-2026,procured_and_contracted,ANG-0001683,KontratëNr-0001684,K41420001V,489350.0,FAT-0003279,pranuar,URDH-0002989,False
PRJ-002333,,,never_procured,,,,,,,,
PRJ-002334,REQ-002335,REF-88205-06-01-2026,procured_and_contracted,ANG-0001684,KontratëNr-0001685,L12510413V,2758275.0,FAT-0003280,pranuar,URDH-0002990,False
PRJ-002334,REQ-002335,REF-88205-06-01-2026,procured_and_contracted,ANG-0001684,KontratëNr-0001685,L12510413V,2758275.0,FAT-0003281,pranuar,URDH-0002991,False
PRJ-002335,,,never_procured,,,,,,,,
PRJ-002336,,,never_procured,,,,,,,,
PRJ-002337,,,never_procured,,,,,,,,
PRJ-002338,,,never_procured,,,,,,,,
PRJ-002339,,,never_procured,,,,,,,,
PRJ-002340,,,never_procured,,,,,,,,
PRJ-002341,REQ-002342,REF-88001-05-29-2026,procured_and_contracted,ANG-0001655,KontratëNr-0001656,L61704504H,99000.0,FAT-0003229,pranuar,URDH-0002944,False
PRJ-002342,,,never_procured,,,,,,,,
PRJ-002343,REQ-002344,REF-87969-05-29-2026,procured_and_contracted,ANG-0001656,KontratëNr-0001657,L02904408M,690000.0,FAT-0003230,refuzuar,,False
PRJ-002343,REQ-002344,REF-87969-05-29-2026,procured_and_contracted,ANG-0001656,KontratëNr-0001657,L02904408M,690000.0,FAT-0003231,pranuar,URDH-0002945,False
PRJ-002344,REQ-002345,REF-88054-05-29-2026,procured_and_contracted,ANG-0001657,KontratëNr-0001658,L72203025F,175000.0,FAT-0003232,pranuar,URDH-0002946,False
PRJ-002344,REQ-002345,REF-88054-05-29-2026,procured_and_contracted,ANG-0001657,KontratëNr-0001658,L72203025F,175000.0,FAT-0003233,refuzuar,,False
PRJ-002345,REQ-002346,REF-88014-05-29-2026,procured_and_contracted,ANG-0001671,KontratëNr-0001672,L38515201C,100000.0,FAT-0003259,pranuar,URDH-0002969,False
PRJ-002345,REQ-002346,REF-88014-05-29-2026,procured_and_contracted,ANG-0001671,KontratëNr-0001672,L38515201C,100000.0,FAT-0003260,pranuar,URDH-0002970,False
PRJ-002345,REQ-002346,REF-88014-05-29-2026,procured_and_contracted,ANG-0001671,KontratëNr-0001672,L38515201C,100000.0,FAT-0003261,pranuar,URDH-0002971,False
PRJ-002346,,,never_procured,,,,,,,,
PRJ-002347,REQ-002348,REF-87957-05-29-2026,procured_and_contracted,ANG-0001658,KontratëNr-0001659,M31625003A,98000.0,FAT-0003234,refuzuar,,False
PRJ-002347,REQ-002348,REF-87957-05-29-2026,procured_and_contracted,ANG-0001658,KontratëNr-0001659,M31625003A,98000.0,FAT-0003235,pranuar,URDH-0002947,False
PRJ-002348,,,never_procured,,,,,,,,
PRJ-002349,REQ-002350,REF-88026-05-29-2026,procured_and_contracted,ANG-0001663,,L82008020I,412978.0,FAT-0003242,pranuar,URDH-0002954,False
PRJ-002349,REQ-002350,REF-88026-05-29-2026,procured_and_contracted,ANG-0001663,,L82008020I,412978.0,FAT-0003243,pranuar,URDH-0002955,False
PRJ-002349,REQ-002350,REF-88026-05-29-2026,procured_and_contracted,ANG-0001663,,L82008020I,412978.0,FAT-0003244,refuzuar,,False
PRJ-002350,REQ-002351,REF-88024-05-29-2026,procured_and_contracted,ANG-0001664,KontratëNr-0001665,L01322018T,95422.0,FAT-0003245,pranuar,URDH-0002956,False
PRJ-002350,REQ-002351,REF-88024-05-29-2026,procured_and_contracted,ANG-0001664,KontratëNr-0001665,L01322018T,95422.0,FAT-0003246,pranuar,URDH-0002957,False
PRJ-002350,REQ-002351,REF-88024-05-29-2026,procured_and_contracted,ANG-0001664,KontratëNr-0001665,L01322018T,95422.0,FAT-0003247,pranuar,URDH-0002958,False
PRJ-002351,REQ-002352,REF-88021-05-29-2026,procured_and_contracted,ANG-0001665,KontratëNr-0001666,L87931901B,50000.0,FAT-0003248,pranuar,URDH-0002959,False
PRJ-002351,REQ-002352,REF-88021-05-29-2026,procured_and_contracted,ANG-0001665,KontratëNr-0001666,L87931901B,50000.0,FAT-0003249,pranuar,URDH-0002960,False
PRJ-002352,REQ-002353,REF-87940-05-28-2026,procured_and_contracted,ANG-0001659,KontratëNr-0001660,L41629009A,289000.0,FAT-0003236,pranuar,URDH-0002948,False
PRJ-002353,REQ-002354,REF-87936-05-28-2026,procured_and_contracted,ANG-0001660,KontratëNr-0001661,L92318009L,948120.0,FAT-0003237,pranuar,URDH-0002949,False
PRJ-002353,REQ-002354,REF-87936-05-28-2026,procured_and_contracted,ANG-0001660,KontratëNr-0001661,L92318009L,948120.0,FAT-0003238,pranuar,URDH-0002950,False
PRJ-002354,REQ-002355,REF-87934-05-28-2026,procured_and_contracted,ANG-0001661,KontratëNr-0001662,K61731002D,11628788.44,FAT-0003239,pranuar,URDH-0002951,False
PRJ-002354,REQ-002355,REF-87934-05-28-2026,procured_and_contracted,ANG-0001661,KontratëNr-0001662,K61731002D,11628788.44,FAT-0003240,pranuar,URDH-0002952,False
PRJ-002355,REQ-002356,REF-87932-05-28-2026,procured_and_contracted,ANG-0001662,KontratëNr-0001663,L32403002P,209800.0,FAT-0003241,pranuar,URDH-0002953,False
PRJ-002356,REQ-002357,REF-88004-05-29-2026,procured_and_contracted,ANG-0001666,KontratëNr-0001667,L53316602C,95000.0,FAT-0003250,refuzuar,,False
PRJ-002356,REQ-002357,REF-88004-05-29-2026,procured_and_contracted,ANG-0001666,KontratëNr-0001667,L53316602C,95000.0,FAT-0003251,pranuar,URDH-0002961,False
PRJ-002356,REQ-002357,REF-88004-05-29-2026,procured_and_contracted,ANG-0001666,KontratëNr-0001667,L53316602C,95000.0,FAT-0003252,pranuar,URDH-0002962,False
PRJ-002357,,,never_procured,,,,,,,,
PRJ-002358,REQ-002359,REF-87975-05-29-2026,procured_and_contracted,ANG-0001667,KontratëNr-0001668,K71625019L,99000.0,FAT-0003253,pranuar,URDH-0002963,False
PRJ-002359,REQ-002360,REF-87979-05-29-2026,procured_and_contracted,ANG-0001668,KontratëNr-0001669,L38515201C,100000.0,FAT-0003254,pranuar,URDH-0002964,False
PRJ-002359,REQ-002360,REF-87979-05-29-2026,procured_and_contracted,ANG-0001668,KontratëNr-0001669,L38515201C,100000.0,FAT-0003255,pranuar,URDH-0002965,False
PRJ-002360,REQ-002361,REF-88114-05-29-2026,procured_and_contracted,ANG-0001669,KontratëNr-0001670,J67902012U,99000.0,FAT-0003256,pranuar,URDH-0002966,False
PRJ-002361,REQ-002362,REF-88070-05-29-2026,procured_and_contracted,ANG-0001672,KontratëNr-0001673,K32725211G,219200.0,FAT-0003262,pranuar,URDH-0002972,False
PRJ-002362,REQ-002363,REF-87983-05-29-2026,procured_and_contracted,ANG-0001670,KontratëNr-0001671,J67902012U,549000.0,FAT-0003257,pranuar,URDH-0002967,False
PRJ-002362,REQ-002363,REF-87983-05-29-2026,procured_and_contracted,ANG-0001670,KontratëNr-0001671,J67902012U,549000.0,FAT-0003258,pranuar,URDH-0002968,False
PRJ-002363,,,never_procured,,,,,,,,
PRJ-002364,,,never_procured,,,,,,,,
PRJ-002365,,,never_procured,,,,,,,,
PRJ-002366,,,never_procured,,,,,,,,
PRJ-002367,,,never_procured,,,,,,,,
PRJ-002368,,,never_procured,,,,,,,,
PRJ-002369,,,never_procured,,,,,,,,
PRJ-002370,,,never_procured,,,,,,,,
PRJ-002371,,,never_procured,,,,,,,,
PRJ-002372,REQ-002373,REF-87929-05-28-2026,procured_and_contracted,ANG-0001643,KontratëNr-0001644,L91612011A,59400.0,FAT-0003211,pranuar,URDH-0002926,False
PRJ-002373,REQ-002374,REF-87828-05-28-2026,procured_and_contracted,ANG-0001645,KontratëNr-0001646,L64214802E,408750.0,FAT-0003215,pranuar,URDH-0002930,False
PRJ-002374,REQ-002375,REF-87831-05-28-2026,procured_and_contracted,ANG-0001646,KontratëNr-0001647,M41824506K,499999.0,FAT-0003216,pranuar,URDH-0002931,False
PRJ-002374,REQ-002375,REF-87831-05-28-2026,procured_and_contracted,ANG-0001646,KontratëNr-0001647,M41824506K,499999.0,FAT-0003217,pranuar,URDH-0002932,False
PRJ-002375,REQ-002376,REF-87822-05-28-2026,procured_and_contracted,ANG-0001647,KontratëNr-0001648,L21305035S,130031.33,FAT-0003218,pranuar,URDH-0002933,False
PRJ-002375,REQ-002376,REF-87822-05-28-2026,procured_and_contracted,ANG-0001647,KontratëNr-0001648,L21305035S,130031.33,FAT-0003219,pranuar,URDH-0002934,False
PRJ-002376,REQ-002377,REF-87919-05-28-2026,procured_and_contracted,ANG-0001641,KontratëNr-0001642,K31503045V,138588.0,FAT-0003207,pranuar,URDH-0002922,False
PRJ-002376,REQ-002377,REF-87919-05-28-2026,procured_and_contracted,ANG-0001641,KontratëNr-0001642,K31503045V,138588.0,FAT-0003208,pranuar,URDH-0002923,False
PRJ-002377,,,never_procured,,,,,,,,
PRJ-002378,,,never_procured,,,,,,,,
PRJ-002379,REQ-002380,REF-87860-05-28-2026,procured_and_contracted,ANG-0001638,KontratëNr-0001639,M01321501F,67000.0,FAT-0003201,pranuar,URDH-0002916,False
PRJ-002380,REQ-002381,REF-87918-05-28-2026,procured_and_contracted,ANG-0001648,KontratëNr-0001649,L01717030C,28897.0,FAT-0003220,pranuar,URDH-0002935,False
PRJ-002381,,,never_procured,,,,,,,,
PRJ-002382,,,never_procured,,,,,,,,
PRJ-002383,REQ-002384,REF-87877-05-28-2026,procured_and_contracted,ANG-0001644,KontratëNr-0001645,M31516511T,70000.0,FAT-0003212,pranuar,URDH-0002927,False
PRJ-002383,REQ-002384,REF-87877-05-28-2026,procured_and_contracted,ANG-0001644,KontratëNr-0001645,M31516511T,70000.0,FAT-0003213,pranuar,URDH-0002928,False
PRJ-002383,REQ-002384,REF-87877-05-28-2026,procured_and_contracted,ANG-0001644,KontratëNr-0001645,M31516511T,70000.0,FAT-0003214,pranuar,URDH-0002929,False
PRJ-002384,REQ-002385,REF-87906-05-28-2026,procured_and_contracted,ANG-0001649,KontratëNr-0001650,K21912001R,90000.0,FAT-0003221,pranuar,URDH-0002936,False
PRJ-002385,REQ-002386,REF-87879-05-28-2026,procured_and_contracted,ANG-0001650,KontratëNr-0001651,K82008005K,96000.0,FAT-0003222,pranuar,URDH-0002937,False
PRJ-002386,REQ-002387,REF-87846-05-28-2026,procured_and_contracted,ANG-0001651,KontratëNr-0001652,K51615512C,929600.0,FAT-0003223,pranuar,URDH-0002938,False
PRJ-002387,REQ-002388,REF-87810-05-28-2026,procured_and_contracted,ANG-0001642,KontratëNr-0001643,J91801003E,125000.0,FAT-0003209,pranuar,URDH-0002924,False
PRJ-002387,REQ-002388,REF-87810-05-28-2026,procured_and_contracted,ANG-0001642,KontratëNr-0001643,J91801003E,125000.0,FAT-0003210,pranuar,URDH-0002925,False
PRJ-002388,REQ-002389,REF-87904-05-28-2026,procured_and_contracted,ANG-0001652,KontratëNr-0001653,K61731002D,849205.96,FAT-0003224,pranuar,URDH-0002939,False
PRJ-002388,REQ-002389,REF-87904-05-28-2026,procured_and_contracted,ANG-0001652,KontratëNr-0001653,K61731002D,849205.96,FAT-0003225,pranuar,URDH-0002940,False
PRJ-002389,REQ-002390,REF-87861-05-28-2026,procured_and_contracted,ANG-0001639,KontratëNr-0001640,L32222023L,39000.0,FAT-0003202,pranuar,URDH-0002917,False
PRJ-002389,REQ-002390,REF-87861-05-28-2026,procured_and_contracted,ANG-0001639,KontratëNr-0001640,L32222023L,39000.0,FAT-0003203,pranuar,URDH-0002918,False
PRJ-002390,,,never_procured,,,,,,,,
PRJ-002391,,,never_procured,,,,,,,,
PRJ-002392,REQ-002393,REF-87809-05-28-2026,procured_and_contracted,ANG-0001654,KontratëNr-0001655,M11307042L,99863.0,FAT-0003228,pranuar,URDH-0002943,False
PRJ-002393,REQ-002394,REF-87890-05-28-2026,procured_and_contracted,ANG-0001640,KontratëNr-0001641,K71412003A,122180630.0,FAT-0003204,pranuar,URDH-0002919,False
PRJ-002393,REQ-002394,REF-87890-05-28-2026,procured_and_contracted,ANG-0001640,KontratëNr-0001641,K71412003A,122180630.0,FAT-0003205,pranuar,URDH-0002920,False
PRJ-002393,REQ-002394,REF-87890-05-28-2026,procured_and_contracted,ANG-0001640,KontratëNr-0001641,K71412003A,122180630.0,FAT-0003206,pranuar,URDH-0002921,False
PRJ-002394,REQ-002395,REF-87854-05-28-2026,procured_and_contracted,ANG-0001653,KontratëNr-0001654,J91329003O,555684.0,FAT-0003226,pranuar,URDH-0002941,False
PRJ-002394,REQ-002395,REF-87854-05-28-2026,procured_and_contracted,ANG-0001653,KontratëNr-0001654,J91329003O,555684.0,FAT-0003227,pranuar,URDH-0002942,False
PRJ-002395,REQ-002396,REF-87497-05-26-2026,procured_and_contracted,ANG-0001362,KontratëNr-0001363,,0.0,FAT-0002701,pranuar,URDH-0002464,False
PRJ-002395,REQ-002396,REF-87497-05-26-2026,procured_and_contracted,ANG-0001362,KontratëNr-0001363,,0.0,FAT-0002702,pranuar,URDH-0002465,False
PRJ-002395,REQ-002396,REF-87497-05-26-2026,procured_and_contracted,ANG-0001362,KontratëNr-0001363,,0.0,FAT-0002703,pranuar,URDH-0002466,False
PRJ-002396,REQ-002397,REF-87475-05-26-2026,procured_and_contracted,ANG-0001363,KontratëNr-0001364,L87312201H,4128.5,FAT-0002704,pranuar,URDH-0002467,False
PRJ-002396,REQ-002397,REF-87475-05-26-2026,procured_and_contracted,ANG-0001363,KontratëNr-0001364,L87312201H,4128.5,FAT-0002705,pranuar,URDH-0002468,False
PRJ-002397,,,never_procured,,,,,,,,
PRJ-002398,,,never_procured,,,,,,,,
PRJ-002399,REQ-002400,REF-87346-05-26-2026,procured_and_contracted,ANG-0001364,KontratëNr-0001365,K81607050Q,28278.0,FAT-0002706,pranuar,URDH-0002469,False
PRJ-002400,REQ-002401,REF-87352-05-26-2026,procured_and_contracted,ANG-0001365,KontratëNr-0001366,L41726016Q,30000.0,FAT-0002707,pranuar,URDH-0002470,False
PRJ-002400,REQ-002401,REF-87352-05-26-2026,procured_and_contracted,ANG-0001365,KontratëNr-0001366,L41726016Q,30000.0,FAT-0002708,pranuar,URDH-0002471,False
PRJ-002401,REQ-002402,REF-87354-05-26-2026,procured_and_contracted,ANG-0001366,KontratëNr-0001367,,0.0,FAT-0002709,pranuar,URDH-0002472,False
PRJ-002401,REQ-002402,REF-87354-05-26-2026,procured_and_contracted,ANG-0001366,KontratëNr-0001367,,0.0,FAT-0002710,pranuar,URDH-0002473,False
PRJ-002402,REQ-002403,REF-87357-05-26-2026,procured_and_contracted,ANG-0001367,KontratëNr-0001368,M47005702V,15000.0,FAT-0002711,pranuar,URDH-0002474,False
PRJ-002403,REQ-002404,REF-87362-05-26-2026,procured_and_contracted,ANG-0001368,KontratëNr-0001369,K81607050Q,741.7,FAT-0002712,pranuar,URDH-0002475,False
PRJ-002403,REQ-002404,REF-87362-05-26-2026,procured_and_contracted,ANG-0001368,KontratëNr-0001369,K81607050Q,741.7,FAT-0002713,pranuar,URDH-0002476,False
PRJ-002403,REQ-002404,REF-87362-05-26-2026,procured_and_contracted,ANG-0001368,KontratëNr-0001369,K81607050Q,741.7,FAT-0002714,pranuar,URDH-0002477,False
PRJ-002404,REQ-002405,REF-87364-05-26-2026,procured_and_contracted,ANG-0001369,,K72228008B,12168.0,FAT-0002715,pranuar,URDH-0002478,False
PRJ-002404,REQ-002405,REF-87364-05-26-2026,procured_and_contracted,ANG-0001369,,K72228008B,12168.0,FAT-0002716,pranuar,URDH-0002479,False
PRJ-002405,REQ-002406,REF-87366-05-26-2026,procured_and_contracted,ANG-0001370,KontratëNr-0001371,L78611901I,97075.0,FAT-0002717,pranuar,URDH-0002480,False
PRJ-002405,REQ-002406,REF-87366-05-26-2026,procured_and_contracted,ANG-0001370,KontratëNr-0001371,L78611901I,97075.0,FAT-0002718,pranuar,URDH-0002481,False
PRJ-002405,REQ-002406,REF-87366-05-26-2026,procured_and_contracted,ANG-0001370,KontratëNr-0001371,L78611901I,97075.0,FAT-0002719,pranuar,URDH-0002482,False
PRJ-002406,REQ-002407,REF-87369-05-26-2026,procured_and_contracted,ANG-0001371,KontratëNr-0001372,L71715003C,440000.0,FAT-0002720,pranuar,URDH-0002483,False
PRJ-002407,REQ-002408,REF-87371-05-26-2026,procured_and_contracted,ANG-0001372,KontratëNr-0001373,M07214203A,934000.0,FAT-0002721,pranuar,URDH-0002484,False
PRJ-002407,REQ-002408,REF-87371-05-26-2026,procured_and_contracted,ANG-0001372,KontratëNr-0001373,M07214203A,934000.0,FAT-0002722,pranuar,URDH-0002485,False
PRJ-002408,REQ-002409,REF-87374-05-26-2026,procured_and_contracted,ANG-0001373,KontratëNr-0001374,M53319201J,85000.0,FAT-0002723,pranuar,URDH-0002486,False
PRJ-002408,REQ-002409,REF-87374-05-26-2026,procured_and_contracted,ANG-0001373,KontratëNr-0001374,M53319201J,85000.0,FAT-0002724,pranuar,URDH-0002487,False
PRJ-002409,REQ-002410,REF-87377-05-26-2026,procured_and_contracted,ANG-0001374,KontratëNr-0001375,L59522404I,99500.0,FAT-0002725,pranuar,URDH-0002488,False
PRJ-002409,REQ-002410,REF-87377-05-26-2026,procured_and_contracted,ANG-0001374,KontratëNr-0001375,L59522404I,99500.0,FAT-0002726,pranuar,URDH-0002489,False
PRJ-002410,REQ-002411,REF-87379-05-26-2026,procured_and_contracted,ANG-0001375,KontratëNr-0001376,K99003403I,81100.0,FAT-0002727,pranuar,URDH-0002490,False
PRJ-002410,REQ-002411,REF-87379-05-26-2026,procured_and_contracted,ANG-0001375,KontratëNr-0001376,K99003403I,81100.0,FAT-0002728,pranuar,URDH-0002491,False
PRJ-002411,REQ-002412,REF-87382-05-26-2026,procured_and_contracted,ANG-0001376,KontratëNr-0001377,K92201080V,271900.0,FAT-0002729,pranuar,URDH-0002492,False
PRJ-002411,REQ-002412,REF-87382-05-26-2026,procured_and_contracted,ANG-0001376,KontratëNr-0001377,K92201080V,271900.0,FAT-0002730,pranuar,URDH-0002493,False
PRJ-002412,REQ-002413,REF-87386-05-26-2026,procured_and_contracted,ANG-0001377,KontratëNr-0001378,M57122701K,499000.0,FAT-0002731,pranuar,URDH-0002494,False
PRJ-002412,REQ-002413,REF-87386-05-26-2026,procured_and_contracted,ANG-0001377,KontratëNr-0001378,M57122701K,499000.0,FAT-0002732,pranuar,URDH-0002495,False
PRJ-002412,REQ-002413,REF-87386-05-26-2026,procured_and_contracted,ANG-0001377,KontratëNr-0001378,M57122701K,499000.0,FAT-0002733,pranuar,URDH-0002496,False
PRJ-002413,REQ-002414,REF-87393-05-26-2026,procured_and_contracted,ANG-0001378,KontratëNr-0001379,L01717030C,18248.0,FAT-0002734,pranuar,URDH-0002497,False
PRJ-002413,REQ-002414,REF-87393-05-26-2026,procured_and_contracted,ANG-0001378,KontratëNr-0001379,L01717030C,18248.0,FAT-0002735,refuzuar,,False
PRJ-002413,REQ-002414,REF-87393-05-26-2026,procured_and_contracted,ANG-0001378,KontratëNr-0001379,L01717030C,18248.0,FAT-0002736,pranuar,URDH-0002498,False
PRJ-002414,REQ-002415,REF-87395-05-26-2026,procured_and_contracted,ANG-0001379,KontratëNr-0001380,L81912032H,350000.0,FAT-0002737,pranuar,URDH-0002499,False
