numri_angazhimit,numri_kerkeses_blerje,numri_kontrates,lloji_ub,blerësi,data_krijimit,statusi,kodi_projekti,kodi_llogarie_ekonomike,kodi_institucioni,nipt_perfituesit,vlera_angazhuar,statusi_aprovuar,periudha_muaji,periudha_viti,kodi_ministrie_linje,kodi_kapitulli,kodi_programi,kodi_entitet_qeverises,kodi_thesar_dege,kodi_tip_buxheti
ANG-0000291,INST-0554-2026-000291,KontratëNr-0000292,Standarte,Blerës 68,2026-01-28,Aprovuar,PRJ-006081,231,INST-0554,L27606201D,612100.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,Qendrore,Korçë,Të ardhura të trashiguara
ANG-0000292,INST-0554-2026-000292,KontratëNr-0000293,Standarte,Blerës 14,2026-01-28,Aprovuar,PRJ-006082,231,INST-0554,J62426002Q,162350.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,Vendore,Shkodër,Financim i huaj
ANG-0000293,INST-0554-2026-000293,KontratëNr-0000294,e_Planifikuar,Blerës 175,2026-01-28,Aprovuar,PRJ-006083,230,INST-0554,L42921001V,736300.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 2,,Qendrore,Elbasan,Buxheti i Shtetit
ANG-0000294,INST-0554-2026-000294,KontratëNr-0000295,e_Planifikuar,Blerës 127,2026-01-28,Aprovuar,PRJ-006084,230,INST-0554,K52505401W,100000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 5,,Qendrore,Vlorë,Financim i huaj
ANG-0000295,INST-0554-2026-000295,KontratëNr-0000296,e_Planifikuar,Blerës 173,2026-01-28,Aprovuar,PRJ-006085,230,INST-0554,K11715005L,10000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000296,INST-0554-2026-000296,KontratëNr-0000297,Standarte,Blerës 128,2026-01-28,Aprovuar,PRJ-006086,230,INST-0554,L28029301Q,227500.0,Po,1,2026,Ministria e Brendshme,Kapitulli 3,,SHA,Fier,Të ardhura të trashiguara
ANG-0000297,INST-0554-2026-000297,KontratëNr-0000298,e_Planifikuar,Blerës 117,2026-01-28,Aprovuar,PRJ-006087,231,INST-0554,M22723402K,99700.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 1,,Vendore,Korçë,Të ardhura të trashiguara
ANG-0000298,INST-0554-2026-000298,KontratëNr-0000299,Standarte,Blerës 154,2026-01-28,Aprovuar,PRJ-006088,230,INST-0554,M01418021A,90500.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000299,INST-0554-2026-000299,KontratëNr-0000300,e_Planifikuar,Blerës 173,2026-01-28,Aprovuar,PRJ-006089,231,INST-0554,J61814110J,17600.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,SHA,Shkodër,Të ardhura të trashiguara
ANG-0000300,INST-0554-2026-000300,KontratëNr-0000301,Standarte,Blerës 185,2026-01-28,Aprovuar,PRJ-006090,231,INST-0554,L81704016C,95590.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 3,,Qendrore,Elbasan,Të ardhura të trashiguara
ANG-0000301,INST-0242-2026-000301,KontratëNr-0000302,e_Planifikuar,Blerës 159,2026-01-28,Aprovuar,PRJ-006073,231,INST-0242,K42317002N,5.42,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,Qendrore,Durrës,Financim i huaj
ANG-0000302,INST-0988-2026-000302,KontratëNr-0000303,Standarte,Blerës 91,2026-01-28,Aprovuar,PRJ-006070,230,INST-0988,M12506803T,689000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,Qendrore,Korçë,Të ardhura të trashiguara
ANG-0000303,INST-0985-2026-000303,,e_Planifikuar,Blerës 51,2026-01-28,Aprovuar,PRJ-006072,230,INST-0985,K06605226B,23.29,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 6,,Vendore,Korçë,Të ardhura të trashiguara
ANG-0000304,INST-0023-2026-000304,KontratëNr-0000305,e_Planifikuar,Blerës 194,2026-01-28,Aprovuar,PRJ-006055,231,INST-0023,K31528061N,284000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 2,,Qendrore,Korçë,Buxheti i Shtetit
ANG-0000305,INST-0144-2026-000305,KontratëNr-0000306,e_Planifikuar,Blerës 191,2026-01-28,Aprovuar,PRJ-006054,231,INST-0144,M51616018E,25000.02,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 7,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000306,INST-0172-2026-000306,KontratëNr-0000307,Standarte,Blerës 24,2026-01-28,Aprovuar,PRJ-006057,230,INST-0172,K41425042N,70000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,SHA,Tiranë,Të ardhura të trashiguara
ANG-0000307,INST-0334-2026-000307,KontratëNr-0000308,Standarte,Blerës 49,2026-01-29,Aprovuar,PRJ-006056,231,INST-0334,J62426002Q,70100.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 2,,SHA,Elbasan,Financim i huaj
ANG-0000308,INST-0061-2026-000308,KontratëNr-0000309,Standarte,Blerës 56,2026-01-29,Aprovuar,PRJ-006052,230,INST-0061,L21319037M,20366.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,SHA,Tiranë,Buxheti i Shtetit
ANG-0000309,INST-0555-2026-000309,KontratëNr-0000310,Standarte,Blerës 99,2026-01-29,Aprovuar,PRJ-006051,231,INST-0555,K62202046U,306508.8,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 4,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000310,INST-0154-2026-000310,,e_Planifikuar,Blerës 18,2026-01-29,Aprovuar,PRJ-006050,230,INST-0154,L01508026P,12100.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,Qendrore,Durrës,Financim i huaj
ANG-0000311,INST-0645-2026-000311,KontratëNr-0000312,e_Planifikuar,Blerës 126,2026-01-29,Aprovuar,PRJ-006048,231,INST-0645,L34603402D,9000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,Qendrore,Durrës,Buxheti i Shtetit
ANG-0000312,INST-0138-2026-000312,KontratëNr-0000313,Standarte,Blerës 121,2026-01-29,Aprovuar,PRJ-006049,230,INST-0138,K71819029R,12500.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,Vendore,Fier,Buxheti i Shtetit
ANG-0000313,INST-1006-2026-000313,KontratëNr-0000314,Standarte,Blerës 54,2026-01-29,Aprovuar,PRJ-006039,230,INST-1006,K62202046U,17400.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 2,,SHA,Fier,Buxheti i Shtetit
ANG-0000314,INST-0437-2026-000314,,Standarte,Blerës 100,2026-01-29,Aprovuar,PRJ-006040,230,INST-0437,K52115005W,666000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,SHA,Elbasan,Buxheti i Shtetit
ANG-0000315,INST-0124-2026-000315,,Standarte,Blerës 175,2026-01-29,Aprovuar,PRJ-006038,231,INST-0124,K12201002T,535000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 3,,Vendore,Vlorë,Buxheti i Shtetit
ANG-0000316,INST-0075-2026-000316,KontratëNr-0000317,Standarte,Blerës 32,2026-01-29,Aprovuar,PRJ-006042,230,INST-0075,L71325020H,580000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,SHA,Elbasan,Buxheti i Shtetit
ANG-0000317,INST-0920-2026-000317,KontratëNr-0000318,Standarte,Blerës 156,2026-01-29,Aprovuar,PRJ-006035,230,INST-0920,M51714016E,43217.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 6,,Qendrore,Shkodër,Financim i huaj
ANG-0000318,INST-0964-2026-000318,KontratëNr-0000319,Standarte,Blerës 105,2026-01-29,Aprovuar,PRJ-006036,231,INST-0964,K21405001N,87000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 4,,Qendrore,Fier,Të ardhura të trashiguara
ANG-0000319,INST-0155-2026-000319,KontratëNr-0000320,Standarte,Blerës 68,2026-01-29,Aprovuar,PRJ-006032,231,INST-0155,J62426002Q,64332.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000320,INST-1005-2026-000320,KontratëNr-0000321,Standarte,Blerës 182,2026-01-29,Aprovuar,PRJ-006033,231,INST-1005,L01508026P,30000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 1,,Qendrore,Fier,Të ardhura të trashiguara
ANG-0000321,INST-0172-2026-000321,KontratëNr-0000322,e_Planifikuar,Blerës 110,2026-01-29,Aprovuar,PRJ-006028,231,INST-0172,K91530017T,1974250.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Vendore,Tiranë,Financim i huaj
ANG-0000322,INST-0172-2026-000322,KontratëNr-0000323,Standarte,Blerës 87,2026-01-29,Aprovuar,PRJ-006029,230,INST-0172,M01321501F,34000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 2,,Qendrore,Vlorë,Financim i huaj
ANG-0000323,INST-0172-2026-000323,KontratëNr-0000324,Standarte,Blerës 14,2026-01-29,Aprovuar,PRJ-006030,231,INST-0172,K42108801C,992992.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000324,INST-0172-2026-000324,KontratëNr-0000325,e_Planifikuar,Blerës 62,2026-01-29,Aprovuar,PRJ-006031,231,INST-0172,K52115005W,52170.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 3,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000325,INST-0172-2026-000325,KontratëNr-0000326,Standarte,Blerës 90,2026-01-29,Aprovuar,PRJ-006037,231,INST-0172,L71407038O,390000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 2,,SHA,Korçë,Buxheti i Shtetit
ANG-0000326,INST-0572-2026-000326,KontratëNr-0000327,Standarte,Blerës 140,2026-01-29,Aprovuar,PRJ-006015,230,INST-0572,K66801001T,91000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,Vendore,Korçë,Të ardhura të trashiguara
ANG-0000327,INST-0915-2026-000327,KontratëNr-0000328,Standarte,Blerës 104,2026-01-29,Aprovuar,PRJ-006026,231,INST-0915,M11714046V,693000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 5,,Qendrore,Tiranë,Të ardhura të trashiguara
ANG-0000328,INST-0626-2026-000328,,Standarte,Blerës 192,2026-01-29,Aprovuar,PRJ-006013,230,INST-0626,K62315503U,90000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,SHA,Durrës,Buxheti i Shtetit
ANG-0000329,INST-0532-2026-000329,KontratëNr-0000330,Standarte,Blerës 167,2026-01-29,Aprovuar,PRJ-006011,230,INST-0532,K62320012O,34200.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 2,,Qendrore,Tiranë,Financim i huaj
ANG-0000330,INST-0057-2026-000330,KontratëNr-0000331,e_Planifikuar,Blerës 76,2026-01-29,Aprovuar,PRJ-006010,230,INST-0057,K71707007Q,279000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000331,INST-1007-2026-000331,KontratëNr-0000332,Standarte,Blerës 51,2026-01-29,Aprovuar,PRJ-006009,231,INST-1007,K62320012O,14000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 6,,Vendore,Tiranë,Të ardhura të trashiguara
ANG-0000332,INST-0118-2026-000332,KontratëNr-0000333,Standarte,Blerës 119,2026-01-29,Aprovuar,PRJ-006006,230,INST-0118,K21405001N,56550.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 6,,Vendore,Fier,Buxheti i Shtetit
ANG-0000333,INST-1012-2026-000333,,Standarte,Blerës 6,2026-01-29,Aprovuar,PRJ-006008,230,INST-1012,L82007020D,33000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 6,,SHA,Vlorë,Buxheti i Shtetit
ANG-0000334,INST-0623-2026-000334,,Standarte,Blerës 134,2026-01-29,Aprovuar,PRJ-006007,230,INST-0623,L01508026P,100000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Vendore,Tiranë,Buxheti i Shtetit
ANG-0000335,INST-0168-2026-000335,,Standarte,Blerës 137,2026-01-30,Aprovuar,PRJ-006004,230,INST-0168,K62320012O,96000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 1,,Vendore,Elbasan,Buxheti i Shtetit
ANG-0000336,INST-0243-2026-000336,KontratëNr-0000337,Standarte,Blerës 142,2026-01-30,Aprovuar,PRJ-006002,230,INST-0243,J61825037N,15000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,SHA,Tiranë,Financim i huaj
ANG-0000337,INST-0099-2026-000337,KontratëNr-0000338,e_Planifikuar,Blerës 78,2026-01-30,Aprovuar,PRJ-005997,231,INST-0099,K62320012O,26250.0,Po,1,2026,Ministria e Brendshme,Kapitulli 6,,SHA,Vlorë,Financim i huaj
ANG-0000338,INST-0152-2026-000338,KontratëNr-0000339,Standarte,Blerës 82,2026-01-30,Aprovuar,PRJ-005998,230,INST-0152,K91530017T,4800.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,Vendore,Tiranë,Të ardhura të trashiguara
ANG-0000339,INST-0173-2026-000339,KontratëNr-0000340,Standarte,Blerës 105,2026-01-30,Aprovuar,PRJ-005999,230,INST-0173,K62320012O,56000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 5,,SHA,Vlorë,Të ardhura të trashiguara
ANG-0000340,INST-0156-2026-000340,KontratëNr-0000341,Standarte,Blerës 177,2026-01-30,Aprovuar,PRJ-006001,231,INST-0156,J63423463I,741000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 1,,Vendore,Vlorë,Financim i huaj
ANG-0000341,INST-0057-2026-000341,KontratëNr-0000342,Standarte,Blerës 132,2026-01-30,Aprovuar,PRJ-005994,230,INST-0057,K62320012O,48500.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 2,,SHA,Shkodër,Të ardhura të trashiguara
ANG-0000342,INST-0238-2026-000342,KontratëNr-0000343,e_Planifikuar,Blerës 167,2026-01-30,Aprovuar,PRJ-005995,230,INST-0238,K62320012O,14000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 6,,Qendrore,Tiranë,Të ardhura të trashiguara
ANG-0000343,INST-0920-2026-000343,KontratëNr-0000344,Standarte,Blerës 189,2026-01-30,Aprovuar,PRJ-005988,230,INST-0920,M01316054J,105000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,Qendrore,Vlorë,Financim i huaj
ANG-0000344,INST-0621-2026-000344,KontratëNr-0000345,Standarte,Blerës 139,2026-01-30,Aprovuar,PRJ-005990,231,INST-0621,K52115005W,33480.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 7,,SHA,Elbasan,Buxheti i Shtetit
ANG-0000345,INST-0098-2026-000345,KontratëNr-0000346,Standarte,Blerës 39,2026-01-30,Aprovuar,PRJ-005992,231,INST-0098,L91619016G,494030.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 3,,Qendrore,Tiranë,Të ardhura të trashiguara
ANG-0000346,INST-0915-2026-000346,KontratëNr-0000347,Standarte,Blerës 1,2026-01-30,Aprovuar,PRJ-005989,231,INST-0915,J61814110J,27500.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 1,,SHA,Durrës,Financim i huaj
ANG-0000347,INST-1014-2026-000347,KontratëNr-0000348,Standarte,Blerës 58,2026-01-30,Aprovuar,PRJ-005991,230,INST-1014,K62320012O,47000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 2,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000348,INST-0243-2026-000348,KontratëNr-0000349,Standarte,Blerës 156,2026-01-30,Aprovuar,PRJ-005993,230,INST-0243,K62320012O,48400.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 7,,Vendore,Durrës,Financim i huaj
ANG-0000349,INST-0391-2026-000349,KontratëNr-0000350,Standarte,Blerës 46,2026-01-30,Aprovuar,PRJ-005978,230,INST-0391,K62320012O,50000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 3,,Qendrore,Korçë,Të ardhura të trashiguara
ANG-0000350,INST-0391-2026-000350,KontratëNr-0000351,e_Planifikuar,Blerës 108,2026-01-30,Aprovuar,PRJ-005982,230,INST-0391,L68727201C,95.15,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 2,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000351,INST-0391-2026-000351,KontratëNr-0000352,Standarte,Blerës 50,2026-01-30,Aprovuar,PRJ-005984,231,INST-0391,K62721401R,828000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,Qendrore,Korçë,Buxheti i Shtetit
ANG-0000352,INST-0243-2026-000352,KontratëNr-0000353,Standarte,Blerës 121,2026-01-30,Aprovuar,PRJ-005987,230,INST-0243,K62115018I,95800.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 2,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000353,INST-0404-2026-000353,KontratëNr-0000354,Standarte,Blerës 178,2026-01-30,Aprovuar,PRJ-005986,230,INST-0404,L52202527V,96500.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,SHA,Fier,Të ardhura të trashiguara
ANG-0000354,INST-0023-2026-000354,KontratëNr-0000355,Standarte,Blerës 83,2026-01-30,Aprovuar,PRJ-005976,230,INST-0023,K31503045V,34900.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 1,,SHA,Durrës,Të ardhura të trashiguara
ANG-0000355,INST-0098-2026-000355,,Standarte,Blerës 166,2026-01-30,Aprovuar,PRJ-005969,231,INST-0098,M11817028S,97712.0,Po,1,2026,Ministria e Brendshme,Kapitulli 1,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000356,INST-0238-2026-000356,KontratëNr-0000357,e_Planifikuar,Blerës 49,2026-01-30,Aprovuar,PRJ-005972,231,INST-0238,K53002402C,100000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 6,,Vendore,Durrës,Të ardhura të trashiguara
ANG-0000357,INST-0238-2026-000357,KontratëNr-0000358,Standarte,Blerës 149,2026-01-30,Aprovuar,PRJ-005973,231,INST-0238,J91329003O,146335.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 4,,SHA,Durrës,Buxheti i Shtetit
ANG-0000358,INST-0915-2026-000358,KontratëNr-0000359,e_Planifikuar,Blerës 49,2026-01-30,Aprovuar,PRJ-005974,231,INST-0915,L97029002L,13000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,SHA,Durrës,Buxheti i Shtetit
ANG-0000359,INST-0005-2026-000359,KontratëNr-0000360,e_Planifikuar,Blerës 169,2026-01-30,Aprovuar,PRJ-005975,230,INST-0005,K31422029Q,319168.37,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,Vendore,Fier,Buxheti i Shtetit
ANG-0000360,INST-0915-2026-000360,KontratëNr-0000361,Standarte,Blerës 101,2026-01-30,Aprovuar,PRJ-005977,231,INST-0915,K72223025M,99.88,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 5,,SHA,Vlorë,Buxheti i Shtetit
ANG-0000361,INST-0238-2026-000361,,Standarte,Blerës 52,2026-01-30,Aprovuar,PRJ-005970,230,INST-0238,M31823508U,395000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 4,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000362,INST-0238-2026-000362,KontratëNr-0000363,Standarte,Blerës 30,2026-01-30,Aprovuar,PRJ-005971,231,INST-0238,J61813529P,2500000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,Vendore,Vlorë,Buxheti i Shtetit
ANG-0000363,INST-0626-2026-000363,,Standarte,Blerës 83,2026-01-30,Aprovuar,PRJ-005968,230,INST-0626,J61905015B,399150.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 3,,Vendore,Vlorë,Financim i huaj
ANG-0000364,INST-0098-2026-000364,KontratëNr-0000365,e_Planifikuar,Blerës 193,2026-01-30,Aprovuar,PRJ-005965,230,INST-0098,K37507738U,37500.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,SHA,Fier,Të ardhura të trashiguara
ANG-0000365,INST-0626-2026-000365,KontratëNr-0000366,Standarte,Blerës 43,2026-01-30,Aprovuar,PRJ-005966,230,INST-0626,K21405001N,72500.0,Po,1,2026,Ministria e Brendshme,Kapitulli 2,,SHA,Fier,Të ardhura të trashiguara
ANG-0000366,INST-0243-2026-000366,KontratëNr-0000367,Standarte,Blerës 18,2026-01-30,Aprovuar,PRJ-005962,231,INST-0243,K21405001N,125400.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,Qendrore,Shkodër,Buxheti i Shtetit
ANG-0000367,INST-0243-2026-000367,KontratëNr-0000368,Standarte,Blerës 44,2026-01-30,Aprovuar,PRJ-005967,231,INST-0243,J61814028F,156150.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Qendrore,Shkodër,Të ardhura të trashiguara
ANG-0000368,INST-0156-2026-000368,KontratëNr-0000369,e_Planifikuar,Blerës 59,2026-01-30,Aprovuar,PRJ-005963,230,INST-0156,L01914003T,527900.0,Po,1,2026,Ministria e Brendshme,Kapitulli 6,,Vendore,Vlorë,Buxheti i Shtetit
ANG-0000369,INST-0404-2026-000369,KontratëNr-0000370,Standarte,Blerës 43,2026-02-01,Aprovuar,PRJ-005964,230,INST-0404,L31519018N,96000.0,Po,2,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,SHA,Durrës,Buxheti i Shtetit
ANG-0000370,INST-0915-2026-000370,KontratëNr-0000371,Standarte,Blerës 21,2026-01-31,Aprovuar,PRJ-005957,231,INST-0915,K11507003S,3626290.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 6,,Vendore,Elbasan,Të ardhura të trashiguara
ANG-0000371,INST-0915-2026-000371,KontratëNr-0000372,Standarte,Blerës 175,2026-02-01,Aprovuar,PRJ-005958,230,INST-0915,L01402011E,6000.0,Po,2,2026,Ministria e Arsimit dhe Sportit,Kapitulli 5,,SHA,Durrës,Buxheti i Shtetit
ANG-0000372,INST-0623-2026-000372,KontratëNr-0000373,Standarte,Blerës 178,2026-02-02,Aprovuar,PRJ-005961,230,INST-0623,M42411028E,10397500.0,Po,2,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Qendrore,Vlorë,Të ardhura të trashiguara
ANG-0000373,INST-0623-2026-000373,KontratëNr-0000374,Standarte,Blerës 85,2026-02-02,Aprovuar,PRJ-005960,231,INST-0623,L11801011M,266.0,Po,2,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,Qendrore,Korçë,Të ardhura të trashiguara
ANG-0000374,INST-0027-2026-000374,KontratëNr-0000375,e_Planifikuar,Blerës 137,2026-02-02,Aprovuar,PRJ-005959,231,INST-0027,K31427035Q,995000.0,Po,2,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,SHA,Vlorë,Të ardhura të trashiguara
ANG-0000375,INST-0920-2026-000375,KontratëNr-0000376,Standarte,Blerës 60,2026-02-02,Aprovuar,PRJ-005949,230,INST-0920,K51612031J,13125.0,Po,2,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 3,,Vendore,Tiranë,Të ardhura të trashiguara
ANG-0000376,INST-0153-2026-000376,KontratëNr-0000377,e_Planifikuar,Blerës 5,2026-02-02,Aprovuar,PRJ-005948,231,INST-0153,K67917806I,344060.0,Po,2,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 1,,SHA,Elbasan,Të ardhura të trashiguara
ANG-0000377,INST-0122-2026-000377,KontratëNr-0000378,Standarte,Blerës 98,2026-02-02,Aprovuar,PRJ-005944,230,INST-0122,K31503045V,1270500.0,Po,2,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,Qendrore,Shkodër,Financim i huaj
ANG-0000378,INST-0961-2026-000378,KontratëNr-0000379,e_Planifikuar,Blerës 178,2026-02-02,Aprovuar,PRJ-005947,230,INST-0961,K88010301S,318411.5,Po,2,2026,Ministria e Brendshme,Kapitulli 4,,Qendrore,Durrës,Financim i huaj
ANG-0000379,INST-0146-2026-000379,KontratëNr-0000380,e_Planifikuar,Blerës 127,2026-02-02,Aprovuar,PRJ-005943,230,INST-0146,J61814028F,155500.0,Po,2,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,Vendore,Elbasan,Buxheti i Shtetit
ANG-0000380,INST-0172-2026-000380,KontratëNr-0000381,Standarte,Blerës 47,2026-02-02,Aprovuar,PRJ-005945,231,INST-0172,J61814028F,210000.0,Po,2,2026,Ministria e Brendshme,Kapitulli 6,,SHA,Elbasan,Buxheti i Shtetit
ANG-0000381,INST-0334-2026-000381,KontratëNr-0000382,Standarte,Blerës 134,2026-02-02,Aprovuar,PRJ-005946,230,INST-0334,K51612031J,81000.0,Po,2,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 5,,Vendore,Tiranë,Të ardhura të trashiguara
ANG-0000382,INST-0915-2026-000382,,Standarte,Blerës 13,2026-02-02,Aprovuar,PRJ-005953,231,INST-0915,J91809007H,441675.0,Po,2,2026,Ministria e Arsimit dhe Sportit,Kapitulli 3,,SHA,Fier,Buxheti i Shtetit
ANG-0000383,INST-0394-2026-000383,KontratëNr-0000384,Standarte,Blerës 45,2026-02-02,Aprovuar,PRJ-005954,230,INST-0394,L71325019D,970000.0,Po,2,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 3,,Qendrore,Korçë,Të ardhura të trashiguara
ANG-0000384,INST-0394-2026-000384,KontratëNr-0000385,Standarte,Blerës 158,2026-02-02,Aprovuar,PRJ-005955,230,INST-0394,J64103483H,741000.0,Po,2,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,SHA,Fier,Buxheti i Shtetit
ANG-0000385,INST-1005-2026-000385,KontratëNr-0000386,Standarte,Blerës 19,2026-02-02,Aprovuar,PRJ-005951,230,INST-1005,L51622005C,12500.0,Po,2,2026,Ministria e Brendshme,Kapitulli 4,,Qendrore,Durrës,Buxheti i Shtetit
