numri_fatures,numri_angazhimit,nivf_nslf,data_fatures,data_mberritjes_regjistrimit,vlera_fatures,statusi,data_ndryshimit_statusit,arsyeja_refuzimit,furnitor_nipt,kodi_lloj_fature
FAT-0001496,ANG-0000738,NIVF-3225059219,2026-04-26,2026-04-30,240081.72,pranuar,2026-05-06,,M29718101T,mall
FAT-0001497,ANG-0000739,NIVF-6824211695,2026-03-22,2026-03-25,283102.93,pranuar,2026-03-31,,K31422029Q,mall
FAT-0001498,ANG-0000739,NIVF-8295728987,2026-05-17,2026-05-18,715477.07,pranuar,2026-05-21,,K31422029Q,mall
FAT-0001499,ANG-0000740,NIVF-3919757464,2026-03-21,2026-03-23,291945.29,pranuar,2026-03-28,,K21912001R,mall
FAT-0001500,ANG-0000740,NIVF-1875482150,2026-05-18,2026-05-18,192780.77,pranuar,2026-05-24,,K21912001R,mall
FAT-0001501,ANG-0000740,NIVF-9579185319,2026-06-24,2026-06-26,1273.94,pranuar,2026-06-30,,K21912001R,mall
FAT-0001502,ANG-0000741,NIVF-2223602263,2026-03-29,2026-04-02,38335.82,refuzuar,2026-04-03,Mospërputhje me kontratën,K11722002W,mall
FAT-0001503,ANG-0000741,NIVF-9245945814,2026-04-23,2026-04-27,61164.18,pranuar,2026-04-29,,K11722002W,mall
FAT-0001504,ANG-0000742,NIVF-5307990743,2026-03-20,2026-03-21,35859.53,pranuar,2026-03-27,,M11707049K,pune
FAT-0001505,ANG-0000742,NIVF-1819236258,2026-05-04,2026-05-08,1919.31,refuzuar,2026-05-14,Mospërputhje me kontratën,M11707049K,pune
FAT-0001506,ANG-0000742,NIVF-6727815414,2026-06-01,2026-06-04,122221.15,pranuar,2026-06-13,,M11707049K,pune
FAT-0001507,ANG-0000743,NIVF-5752177990,2026-03-27,2026-03-30,0.0,pranuar,2026-04-04,,,mall
FAT-0001508,ANG-0000744,NIVF-7028463984,2026-03-18,2026-03-21,1038462.01,pranuar,2026-03-22,,J74517205P,mall
FAT-0001509,ANG-0000744,NIVF-1055731105,2026-04-18,2026-04-19,3347537.99,pranuar,2026-04-20,,J74517205P,mall
FAT-0001510,ANG-0000745,NIVF-2121052109,2026-03-27,2026-03-31,6979.0,refuzuar,2026-04-09,Mungesë dokumentacioni mbështetës,K31503045V,mall
FAT-0001511,ANG-0000746,NIVF-7124295304,2026-03-18,2026-03-21,3938.31,pranuar,2026-03-22,,K12201002T,mall
FAT-0001512,ANG-0000746,NIVF-1319273599,2026-04-13,2026-04-16,24396.69,pranuar,2026-04-21,,K12201002T,mall
FAT-0001513,ANG-0000747,NIVF-1312458136,2026-03-31,2026-03-31,168.49,pranuar,2026-04-05,,M02012011A,sherbim
FAT-0001514,ANG-0000747,NIVF-4560280683,2026-05-18,2026-05-21,1498.18,pranuar,2026-05-27,,M02012011A,sherbim
FAT-0001515,ANG-0000748,NIVF-7131376923,2026-03-23,2026-03-27,48526.99,pranuar,2026-03-31,,L31329009M,sherbim
FAT-0001516,ANG-0000748,NIVF-5778167059,2026-05-14,2026-05-14,100473.01,pranuar,2026-05-17,,L31329009M,sherbim
FAT-0001517,ANG-0000749,NIVF-2515170740,2026-03-28,2026-03-29,548.67,pranuar,2026-04-03,,K21912001R,mall
FAT-0001518,ANG-0000749,NIVF-7847616687,2026-05-11,2026-05-14,11331.33,pranuar,2026-05-22,,K21912001R,mall
FAT-0001519,ANG-0000750,NIVF-8961167962,2026-03-23,2026-03-24,177727.13,pranuar,2026-03-27,,K16604717F,mall
FAT-0001520,ANG-0000750,NIVF-5426654372,2026-05-21,2026-05-22,1683672.87,pranuar,2026-05-23,,K16604717F,mall
FAT-0001521,ANG-0000751,NIVF-3789524747,2026-03-25,2026-03-29,326476.76,pranuar,2026-04-02,,K81503063B,mall
FAT-0001522,ANG-0000751,NIVF-1915263915,2026-05-16,2026-05-16,50534.56,pranuar,2026-05-21,,K81503063B,mall
FAT-0001523,ANG-0000751,NIVF-2276267012,2026-06-17,2026-06-20,192988.68,pranuar,2026-06-28,,K81503063B,mall
FAT-0001524,ANG-0000752,NIVF-3677198323,2026-03-26,2026-03-26,36287.33,pranuar,2026-04-04,,L62212043B,mall
FAT-0001525,ANG-0000752,NIVF-7247672083,2026-05-15,2026-05-16,52712.67,pranuar,2026-05-17,,L62212043B,mall
FAT-0001526,ANG-0000753,NIVF-9791654987,2026-03-18,2026-03-19,163551.44,pranuar,2026-03-27,,J62426002Q,pune
FAT-0001527,ANG-0000753,NIVF-9999159949,2026-04-14,2026-04-15,14748.56,pranuar,2026-04-19,,J62426002Q,pune
FAT-0001528,ANG-0000754,NIVF-8639703907,2026-04-01,2026-04-04,100000.0,pranuar,2026-04-12,,M21621046I,mall
FAT-0001529,ANG-0000755,NIVF-5586902358,2026-03-23,2026-03-26,570097.7,pranuar,2026-03-29,,M02209004H,mall
FAT-0001530,ANG-0000755,NIVF-1135873768,2026-04-18,2026-04-19,934737.45,pranuar,2026-04-25,,M02209004H,mall
FAT-0001531,ANG-0000755,NIVF-6481687937,2026-05-21,2026-05-22,615664.84,pranuar,2026-05-26,,M02209004H,mall
FAT-0001532,ANG-0000756,NIVF-4594586098,2026-03-22,2026-03-22,24901.0,pranuar,2026-03-23,,K69006212H,mall
FAT-0001533,ANG-0000757,NIVF-8148309916,2026-03-26,2026-03-28,50153.81,pranuar,2026-04-02,,M11714046V,mall
FAT-0001534,ANG-0000757,NIVF-6073131937,2026-05-16,2026-05-20,103846.19,pranuar,2026-05-28,,M11714046V,mall
FAT-0001535,ANG-0000758,NIVF-4365612727,2026-03-26,2026-03-30,22073.05,pranuar,2026-04-08,,J71519004W,mall
FAT-0001536,ANG-0000758,NIVF-6580594170,2026-04-17,2026-04-17,553926.95,pranuar,2026-04-21,,J71519004W,mall
FAT-0001537,ANG-0000759,NIVF-4191908752,2026-03-24,2026-03-27,724.12,pranuar,2026-03-29,,K63629201V,sherbim
FAT-0001538,ANG-0000759,NIVF-7132737633,2026-04-20,2026-04-23,38941.88,pranuar,2026-04-27,,K63629201V,sherbim
FAT-0001539,ANG-0000760,NIVF-4594517067,2026-04-02,2026-04-03,93267.16,pranuar,2026-04-11,,L28029301Q,mall
FAT-0001540,ANG-0000760,NIVF-7251009794,2026-05-03,2026-05-06,6732.84,pranuar,2026-05-09,,L28029301Q,mall
FAT-0001541,ANG-0000761,NIVF-6119024327,2026-03-25,2026-03-27,54131.89,pranuar,2026-03-31,,K33721008C,mall
FAT-0001542,ANG-0000761,NIVF-1535972422,2026-05-04,2026-05-05,14139.02,pranuar,2026-05-09,,K33721008C,mall
FAT-0001543,ANG-0000761,NIVF-9519802278,2026-06-19,2026-06-22,2529.09,pranuar,2026-06-24,,K33721008C,mall
FAT-0001544,ANG-0000762,NIVF-8888539204,2026-04-03,2026-04-06,35248.74,pranuar,2026-04-15,,M06802801A,mall
FAT-0001545,ANG-0000762,NIVF-5514348668,2026-05-26,2026-05-29,63931.26,pranuar,2026-06-06,,M06802801A,mall
FAT-0001546,ANG-0000763,NIVF-9820554382,2026-03-30,2026-04-01,23812.53,pranuar,2026-04-07,,K01410001N,mall
FAT-0001547,ANG-0000763,NIVF-6239674683,2026-05-22,2026-05-23,59746.19,pranuar,2026-05-30,,K01410001N,mall
FAT-0001548,ANG-0000763,NIVF-8660803394,2026-06-23,2026-06-25,14647.28,pranuar,2026-07-03,,K01410001N,mall
FAT-0001549,ANG-0000764,NIVF-9658882934,2026-03-27,2026-03-29,345000.0,pranuar,2026-04-07,,M22102009L,pune
FAT-0001550,ANG-0000765,NIVF-9553296473,2026-03-31,2026-04-01,0.0,pranuar,2026-04-03,,,mall
FAT-0001551,ANG-0000765,NIVF-7279394561,2026-05-09,2026-05-11,0.0,pranuar,2026-05-15,,,mall
FAT-0001552,ANG-0000766,NIVF-8538504731,2026-03-29,2026-04-02,81000.0,pranuar,2026-04-03,,J62426002Q,sherbim
FAT-0001553,ANG-0000767,NIVF-8329112087,2026-04-04,2026-04-07,46899.88,pranuar,2026-04-08,,L82203011N,mall
FAT-0001554,ANG-0000767,NIVF-7242286227,2026-05-08,2026-05-08,1062340.12,pranuar,2026-05-15,,L82203011N,mall
FAT-0001555,ANG-0000768,NIVF-1146891807,2026-03-23,2026-03-26,281112.94,pranuar,2026-03-27,,L12510413V,pune
FAT-0001556,ANG-0000768,NIVF-6650032118,2026-05-21,2026-05-24,1038576.06,pranuar,2026-05-30,,L12510413V,pune
FAT-0001557,ANG-0000769,NIVF-5107961821,2026-04-03,2026-04-04,464018.51,pranuar,2026-04-12,,M51624039U,pune
FAT-0001558,ANG-0000769,NIVF-2392418203,2026-05-22,2026-05-24,110581.49,pranuar,2026-05-27,,M51624039U,pune
FAT-0001559,ANG-0000770,NIVF-4870067618,2026-03-24,2026-03-27,0.0,pranuar,2026-03-29,,,mall
FAT-0001560,ANG-0000770,NIVF-3069054994,2026-04-23,2026-04-24,0.0,pranuar,2026-04-28,,,mall
FAT-0001561,ANG-0000770,NIVF-3997468237,2026-06-18,2026-06-18,0.0,pranuar,2026-06-26,,,mall
FAT-0001562,ANG-0000771,NIVF-5780730658,2026-03-23,2026-03-23,21043.06,pranuar,2026-03-24,,M22420031V,sherbim
FAT-0001563,ANG-0000771,NIVF-7002307787,2026-05-03,2026-05-06,70756.94,pranuar,2026-05-08,,M22420031V,sherbim
FAT-0001564,ANG-0000772,NIVF-6675131063,2026-03-30,2026-04-03,302704.56,pranuar,2026-04-11,,L72230026K,mall
FAT-0001565,ANG-0000772,NIVF-8967871042,2026-05-06,2026-05-10,537295.44,pranuar,2026-05-16,,L72230026K,mall
FAT-0001566,ANG-0000773,NIVF-1407940688,2026-04-04,2026-04-05,185000.0,pranuar,2026-04-09,,M43003203E,sherbim
FAT-0001567,ANG-0000774,NIVF-5502715032,2026-04-02,2026-04-06,2478.3,pranuar,2026-04-13,,M22427007O,mall
FAT-0001568,ANG-0000774,NIVF-9172584145,2026-05-27,2026-05-27,35021.7,pranuar,2026-06-02,,M22427007O,mall
FAT-0001569,ANG-0000775,NIVF-8911450252,2026-03-28,2026-03-31,504974.28,pranuar,2026-04-04,,L26310801C,mall
FAT-0001570,ANG-0000775,NIVF-6927018799,2026-05-06,2026-05-08,465025.72,pranuar,2026-05-13,,L26310801C,mall
FAT-0001571,ANG-0000776,NIVF-6999716046,2026-04-04,2026-04-05,4405.94,pranuar,2026-04-13,,L53512601D,mall
FAT-0001572,ANG-0000776,NIVF-2929818594,2026-05-23,2026-05-23,55658.31,pranuar,2026-05-24,,L53512601D,mall
FAT-0001573,ANG-0000776,NIVF-9583412718,2026-06-20,2026-06-23,30977.75,pranuar,2026-06-25,,L53512601D,mall
FAT-0001574,ANG-0000777,NIVF-1959814691,2026-03-27,2026-03-28,380623.51,pranuar,2026-04-03,,K12201002T,mall
FAT-0001575,ANG-0000777,NIVF-9690175434,2026-05-19,2026-05-19,142321.49,pranuar,2026-05-28,,K12201002T,mall
FAT-0001576,ANG-0000777,NIVF-5906117892,2026-07-10,2026-07-10,382055.0,pranuar,2026-07-14,,K12201002T,mall
FAT-0001577,ANG-0000778,NIVF-9903086994,2026-03-30,2026-03-30,27709062.6,pranuar,2026-04-01,,L92230027U,mall
FAT-0001578,ANG-0000778,NIVF-5698039177,2026-04-27,2026-05-01,11213937.4,pranuar,2026-05-08,,L92230027U,mall
FAT-0001579,ANG-0000779,NIVF-8287857003,2026-03-24,2026-03-25,120665.09,refuzuar,2026-03-31,Mungesë dokumentacioni mbështetës,M42626404R,pune
FAT-0001580,ANG-0000779,NIVF-5324602403,2026-04-15,2026-04-15,559334.91,pranuar,2026-04-21,,M42626404R,pune
FAT-0001581,ANG-0000780,NIVF-2103505425,2026-04-02,2026-04-05,26251.52,refuzuar,2026-04-06,Gabim në shumën e faturuar,K62320012O,mall
FAT-0001582,ANG-0000780,NIVF-4057451874,2026-04-25,2026-04-29,1695.21,pranuar,2026-05-04,,K62320012O,mall
FAT-0001583,ANG-0000780,NIVF-8803524795,2026-05-22,2026-05-22,2053.27,pranuar,2026-05-28,,K62320012O,mall
FAT-0001584,ANG-0000781,NIVF-8015090270,2026-03-28,2026-03-28,6840.0,pranuar,2026-04-04,,M22421024U,mall
FAT-0001585,ANG-0000782,NIVF-3881726029,2026-04-06,2026-04-07,9038.4,pranuar,2026-04-14,,L31626002T,mall
FAT-0001586,ANG-0000782,NIVF-4806597001,2026-05-26,2026-05-27,4797.57,pranuar,2026-05-30,,L31626002T,mall
FAT-0001587,ANG-0000782,NIVF-4786630949,2026-07-04,2026-07-07,29497.36,pranuar,2026-07-12,,L31626002T,mall
FAT-0001588,ANG-0000783,NIVF-8552657555,2026-04-02,2026-04-06,5503.79,pranuar,2026-04-09,,K33919034K,sherbim
FAT-0001589,ANG-0000783,NIVF-8588156992,2026-05-26,2026-05-28,94496.21,pranuar,2026-05-31,,K33919034K,sherbim
FAT-0001590,ANG-0000784,NIVF-1330302500,2026-03-28,2026-03-29,96000.0,refuzuar,2026-03-30,Fiskalizim i pavlefshëm,M12420009R,sherbim
FAT-0001591,ANG-0000785,NIVF-8350226250,2026-04-12,2026-04-15,388500.0,pranuar,2026-04-18,,L64425401K,sherbim
FAT-0001592,ANG-0000786,NIVF-2681791025,2026-03-31,2026-03-31,159451.62,pranuar,2026-04-08,,L92019017V,mall
FAT-0001593,ANG-0000786,NIVF-3438115291,2026-05-28,2026-05-29,665548.38,pranuar,2026-06-06,,L92019017V,mall
FAT-0001594,ANG-0000787,NIVF-8936476154,2026-04-11,2026-04-11,496831.0,pranuar,2026-04-18,,M01714005H,sherbim
FAT-0001595,ANG-0000788,NIVF-5427703959,2026-04-05,2026-04-05,787762.21,pranuar,2026-04-13,,L11424007S,mall
FAT-0001596,ANG-0000788,NIVF-3252243995,2026-04-29,2026-04-30,192237.79,pranuar,2026-05-06,,L11424007S,mall
FAT-0001597,ANG-0000789,NIVF-1365253917,2026-04-04,2026-04-07,490500.0,pranuar,2026-04-16,,L42206505K,sherbim
FAT-0001598,ANG-0000790,NIVF-9371837770,2026-04-09,2026-04-11,300000.0,pranuar,2026-04-19,,L92204011T,pune
FAT-0001599,ANG-0000791,NIVF-8827548522,2026-04-04,2026-04-07,64414.21,pranuar,2026-04-09,,M46915401B,sherbim
FAT-0001600,ANG-0000791,NIVF-8940226154,2026-05-20,2026-05-22,14530.73,pranuar,2026-05-30,,M46915401B,sherbim
FAT-0001601,ANG-0000791,NIVF-4573342823,2026-06-25,2026-06-28,76055.06,pranuar,2026-07-02,,M46915401B,sherbim
FAT-0001602,ANG-0000792,NIVF-7277674386,2026-03-31,2026-04-03,58333.33,pranuar,2026-04-10,,L36331601E,sherbim
FAT-0001603,ANG-0000793,NIVF-8667819476,2026-04-05,2026-04-06,812200.0,pranuar,2026-04-15,,K72218022J,sherbim
FAT-0001604,ANG-0000794,NIVF-2358292886,2026-04-10,2026-04-12,1506000.0,pranuar,2026-04-13,,J64103483H,mall
FAT-0001605,ANG-0000795,NIVF-7506157574,2026-04-04,2026-04-08,0.0,pranuar,2026-04-13,,,mall
FAT-0001606,ANG-0000795,NIVF-1545551172,2026-05-24,2026-05-25,0.0,pranuar,2026-05-28,,,mall
FAT-0001607,ANG-0000795,NIVF-8105098328,2026-06-22,2026-06-26,0.0,pranuar,2026-06-27,,,mall
FAT-0001608,ANG-0000796,NIVF-7860071854,2026-04-10,2026-04-12,738000.0,pranuar,2026-04-15,,K73609801E,mall
FAT-0001609,ANG-0000797,NIVF-2034081562,2026-03-30,2026-04-01,87251.37,pranuar,2026-04-03,,K31915018E,sherbim
FAT-0001610,ANG-0000797,NIVF-7885703833,2026-05-18,2026-05-20,347501.86,pranuar,2026-05-23,,K31915018E,sherbim
FAT-0001611,ANG-0000797,NIVF-1284875892,2026-07-02,2026-07-06,114246.77,pranuar,2026-07-13,,K31915018E,sherbim
FAT-0001612,ANG-0000798,NIVF-6831397575,2026-04-08,2026-04-10,276.65,pranuar,2026-04-17,,K31503045V,sherbim
FAT-0001613,ANG-0000798,NIVF-9629911909,2026-05-16,2026-05-19,131.43,pranuar,2026-05-22,,K31503045V,sherbim
FAT-0001614,ANG-0000798,NIVF-7263004506,2026-06-15,2026-06-16,2536.42,pranuar,2026-06-18,,K31503045V,sherbim
FAT-0001615,ANG-0000799,NIVF-4102793415,2026-04-07,2026-04-10,84388.02,pranuar,2026-04-12,,K72218022J,sherbim
FAT-0001616,ANG-0000799,NIVF-3383797437,2026-05-25,2026-05-29,171609.79,pranuar,2026-06-05,,K72218022J,sherbim
FAT-0001617,ANG-0000799,NIVF-7788871001,2026-06-29,2026-07-01,62752.2,pranuar,2026-07-06,,K72218022J,sherbim
FAT-0001618,ANG-0000800,NIVF-1059916568,2026-04-01,2026-04-01,1908720.38,refuzuar,2026-04-03,Fiskalizim i pavlefshëm,M41926023G,mall
FAT-0001619,ANG-0000800,NIVF-3933937560,2026-05-30,2026-06-03,2369207.84,pranuar,2026-06-04,,M41926023G,mall
FAT-0001620,ANG-0000800,NIVF-9502017197,2026-07-28,2026-08-01,3901971.78,pranuar,2026-08-07,,M41926023G,mall
FAT-0001621,ANG-0000801,NIVF-1699916207,2026-04-09,2026-04-13,12880.9,pranuar,2026-04-19,,K37811672A,mall
FAT-0001622,ANG-0000801,NIVF-1631024292,2026-05-18,2026-05-20,5919.25,pranuar,2026-05-23,,K37811672A,mall
FAT-0001623,ANG-0000801,NIVF-1215336878,2026-06-12,2026-06-12,5758.19,pranuar,2026-06-17,,K37811672A,mall
FAT-0001624,ANG-0000802,NIVF-6811308106,2026-04-03,2026-04-03,211750.0,pranuar,2026-04-11,,K31503045V,mall
FAT-0001625,ANG-0000803,NIVF-9196211086,2026-04-07,2026-04-11,40692.8,pranuar,2026-04-16,,L01606034A,sherbim
FAT-0001626,ANG-0000803,NIVF-5210900289,2026-04-29,2026-04-29,14411.61,pranuar,2026-05-03,,L01606034A,sherbim
FAT-0001627,ANG-0000803,NIVF-4890988071,2026-05-31,2026-05-31,25978.93,pranuar,2026-06-06,,L01606034A,sherbim
FAT-0001628,ANG-0000804,NIVF-3181765302,2026-03-30,2026-04-01,100000.0,pranuar,2026-04-04,,K42108801C,sherbim
FAT-0001629,ANG-0000805,NIVF-3231464930,2026-04-10,2026-04-14,31326.22,pranuar,2026-04-15,,M12127026K,mall
FAT-0001630,ANG-0000805,NIVF-5331834796,2026-05-18,2026-05-20,68673.78,pranuar,2026-05-26,,M12127026K,mall
FAT-0001631,ANG-0000806,NIVF-8004261201,2026-04-12,2026-04-12,950000.0,pranuar,2026-04-15,,K01514009I,mall
FAT-0001632,ANG-0000807,NIVF-2464409621,2026-04-03,2026-04-05,128416.52,pranuar,2026-04-06,,M26620203T,mall
FAT-0001633,ANG-0000807,NIVF-1303313660,2026-05-15,2026-05-15,215783.48,pranuar,2026-05-22,,M26620203T,mall
FAT-0001634,ANG-0000808,NIVF-7848451303,2026-04-07,2026-04-10,70715.91,pranuar,2026-04-18,,M36507003J,sherbim
FAT-0001635,ANG-0000808,NIVF-6953378425,2026-05-24,2026-05-25,17300.04,pranuar,2026-05-29,,M36507003J,sherbim
FAT-0001636,ANG-0000808,NIVF-1176710969,2026-07-08,2026-07-08,11984.06,pranuar,2026-07-14,,M36507003J,sherbim
FAT-0001637,ANG-0000809,NIVF-7160665887,2026-04-04,2026-04-07,14774.0,pranuar,2026-04-10,,J61825037N,sherbim
FAT-0001638,ANG-0000809,NIVF-7195379317,2026-04-30,2026-04-30,120226.0,pranuar,2026-05-06,,J61825037N,sherbim
FAT-0001639,ANG-0000810,NIVF-2534521615,2026-04-08,2026-04-08,267000.0,pranuar,2026-04-09,,K12023001A,pune
FAT-0001640,ANG-0000811,NIVF-8674162652,2026-04-06,2026-04-10,12760.32,pranuar,2026-04-16,,K31419099E,mall
FAT-0001641,ANG-0000811,NIVF-3457490838,2026-05-07,2026-05-07,1265.41,pranuar,2026-05-14,,K31419099E,mall
FAT-0001642,ANG-0000811,NIVF-3339138845,2026-06-09,2026-06-12,307.27,pranuar,2026-06-20,,K31419099E,mall
FAT-0001643,ANG-0000812,NIVF-6105060725,2026-04-03,2026-04-05,171845.0,pranuar,2026-04-06,,J61905015B,mall
FAT-0001644,ANG-0000812,NIVF-1276338187,2026-05-17,2026-05-18,28155.0,pranuar,2026-05-27,,J61905015B,mall
FAT-0001645,ANG-0000813,NIVF-2509594597,2026-04-10,2026-04-14,9.25,pranuar,2026-04-21,,L71306509A,sherbim
FAT-0001646,ANG-0000813,NIVF-6628824265,2026-05-29,2026-05-29,65.85,pranuar,2026-06-06,,L71306509A,sherbim
FAT-0001647,ANG-0000813,NIVF-5462330289,2026-06-27,2026-06-30,24.61,pranuar,2026-07-02,,L71306509A,sherbim
FAT-0001648,ANG-0000814,NIVF-6280998066,2026-04-04,2026-04-05,128583.21,pranuar,2026-04-11,,M07108401J,mall
FAT-0001649,ANG-0000814,NIVF-5691286614,2026-05-27,2026-05-30,110316.79,pranuar,2026-06-06,,M07108401J,mall
FAT-0001650,ANG-0000815,NIVF-3095406250,2026-04-12,2026-04-15,321082.25,pranuar,2026-04-24,,K36306784K,sherbim
FAT-0001651,ANG-0000815,NIVF-7370455757,2026-05-23,2026-05-25,77906.75,pranuar,2026-05-30,,K36306784K,sherbim
FAT-0001652,ANG-0000816,NIVF-8055666623,2026-04-13,2026-04-14,389000.0,pranuar,2026-04-20,,K21505002B,mall
FAT-0001653,ANG-0000817,NIVF-3870223192,2026-04-10,2026-04-12,89000.0,pranuar,2026-04-18,,J62426002Q,mall
FAT-0001654,ANG-0000818,NIVF-3369870614,2026-04-10,2026-04-14,100000.0,pranuar,2026-04-21,,K37509245G,mall
FAT-0001655,ANG-0000819,NIVF-6488028363,2026-04-03,2026-04-07,80000.0,pranuar,2026-04-15,,L31827001A,mall
FAT-0001656,ANG-0000820,NIVF-8862972049,2026-04-08,2026-04-11,63950.93,pranuar,2026-04-14,,L81620002R,mall
FAT-0001657,ANG-0000820,NIVF-8297823411,2026-05-08,2026-05-09,48365.63,pranuar,2026-05-16,,L81620002R,mall
FAT-0001658,ANG-0000820,NIVF-9447701257,2026-06-15,2026-06-15,107683.44,pranuar,2026-06-20,,L81620002R,mall
FAT-0001659,ANG-0000821,NIVF-4206206266,2026-04-13,2026-04-16,93242.36,pranuar,2026-04-18,,K66801001T,mall
FAT-0001660,ANG-0000821,NIVF-2150963998,2026-05-15,2026-05-18,159615.76,pranuar,2026-05-22,,K66801001T,mall
FAT-0001661,ANG-0000821,NIVF-4504460573,2026-07-11,2026-07-15,247141.88,pranuar,2026-07-21,,K66801001T,mall
FAT-0001662,ANG-0000822,NIVF-8390304535,2026-04-06,2026-04-07,326900.0,pranuar,2026-04-13,,L12407012R,pune
FAT-0001663,ANG-0000823,NIVF-2129403213,2026-04-07,2026-04-10,98000.0,pranuar,2026-04-19,,L01508026P,pune
FAT-0001664,ANG-0000824,NIVF-2751071204,2026-04-12,2026-04-12,50000.0,pranuar,2026-04-17,,L42605202V,sherbim
FAT-0001665,ANG-0000825,NIVF-1226720846,2026-04-14,2026-04-17,98333.3,pranuar,2026-04-24,,K71509006M,mall
FAT-0001666,ANG-0000826,NIVF-1323940499,2026-04-09,2026-04-11,8316.14,pranuar,2026-04-16,,M52207043A,mall
FAT-0001667,ANG-0000826,NIVF-5977386021,2026-05-10,2026-05-10,21970.75,pranuar,2026-05-13,,M52207043A,mall
FAT-0001668,ANG-0000826,NIVF-7754512406,2026-07-01,2026-07-01,69713.1,pranuar,2026-07-10,,M52207043A,mall
FAT-0001669,ANG-0000827,NIVF-8450394322,2026-04-03,2026-04-04,32911.69,pranuar,2026-04-12,,M22421024U,mall
FAT-0001670,ANG-0000827,NIVF-8042901063,2026-05-07,2026-05-11,5988.31,pranuar,2026-05-19,,M22421024U,mall
FAT-0001671,ANG-0000828,NIVF-3516740616,2026-04-08,2026-04-10,5149.71,pranuar,2026-04-19,,K21405001N,mall
FAT-0001672,ANG-0000828,NIVF-5777503306,2026-05-09,2026-05-13,6450.29,refuzuar,2026-05-21,Gabim në shumën e faturuar,K21405001N,mall
FAT-0001673,ANG-0000829,NIVF-1610306091,2026-04-05,2026-04-06,55921.1,pranuar,2026-04-10,,M37218005E,mall
FAT-0001674,ANG-0000829,NIVF-6453604639,2026-05-21,2026-05-21,43278.9,pranuar,2026-05-26,,M37218005E,mall
FAT-0001675,ANG-0000830,NIVF-7974600779,2026-04-14,2026-04-18,20909.21,refuzuar,2026-04-20,Fiskalizim i pavlefshëm,K62320012O,mall
FAT-0001676,ANG-0000830,NIVF-9545083425,2026-06-09,2026-06-13,2590.79,pranuar,2026-06-20,,K62320012O,mall
FAT-0001677,ANG-0000831,NIVF-5251536099,2026-04-08,2026-04-11,152019.79,pranuar,2026-04-15,,K41425042N,pune
FAT-0001678,ANG-0000831,NIVF-2084759745,2026-05-27,2026-05-29,208082.87,pranuar,2026-06-05,,K41425042N,pune
FAT-0001679,ANG-0000831,NIVF-9743120907,2026-06-22,2026-06-26,139897.34,pranuar,2026-07-02,,K41425042N,pune
FAT-0001680,ANG-0000832,NIVF-4845009346,2026-04-11,2026-04-11,64000.0,pranuar,2026-04-16,,M22420031V,sherbim
FAT-0001681,ANG-0000833,NIVF-4728341942,2026-04-13,2026-04-14,29820.0,pranuar,2026-04-20,,K32312501J,mall
FAT-0001682,ANG-0000834,NIVF-7373281364,2026-04-04,2026-04-06,14118.82,refuzuar,2026-04-11,Gabim në shumën e faturuar,K21702007J,mall
FAT-0001683,ANG-0000834,NIVF-5065329544,2026-05-25,2026-05-26,62088.87,refuzuar,2026-06-04,Mungesë dokumentacioni mbështetës,K21702007J,mall
FAT-0001684,ANG-0000834,NIVF-2230792936,2026-07-18,2026-07-20,23662.31,pranuar,2026-07-21,,K21702007J,mall
FAT-0001685,ANG-0000835,NIVF-9962906478,2026-04-04,2026-04-04,24834.97,pranuar,2026-04-06,,M51615504N,mall
FAT-0001686,ANG-0000835,NIVF-8854808731,2026-05-14,2026-05-15,3500.94,pranuar,2026-05-16,,M51615504N,mall
FAT-0001687,ANG-0000835,NIVF-6581723590,2026-06-04,2026-06-07,14997.09,pranuar,2026-06-11,,M51615504N,mall
FAT-0001688,ANG-0000836,NIVF-6106999730,2026-04-04,2026-04-05,819000.0,pranuar,2026-04-07,,M22421024U,mall
FAT-0001689,ANG-0000837,NIVF-9733975143,2026-04-10,2026-04-14,243700.0,pranuar,2026-04-17,,J62426002Q,sherbim
FAT-0001690,ANG-0000838,NIVF-7134612383,2026-04-11,2026-04-15,13029.65,pranuar,2026-04-24,,K94405601Q,mall
FAT-0001691,ANG-0000838,NIVF-4744907978,2026-05-04,2026-05-08,40270.03,pranuar,2026-05-17,,K94405601Q,mall
FAT-0001692,ANG-0000838,NIVF-7477035870,2026-06-04,2026-06-04,28366.32,pranuar,2026-06-05,,K94405601Q,mall
FAT-0001693,ANG-0000839,NIVF-5350758138,2026-04-11,2026-04-13,122048.59,pranuar,2026-04-18,,M56830202B,mall
FAT-0001694,ANG-0000839,NIVF-1987633099,2026-05-22,2026-05-26,118451.41,pranuar,2026-05-28,,M56830202B,mall
FAT-0001695,ANG-0000840,NIVF-9121196150,2026-04-06,2026-04-07,7736.17,pranuar,2026-04-14,,L12107043O,mall
FAT-0001696,ANG-0000840,NIVF-2198217824,2026-05-13,2026-05-14,80290.83,pranuar,2026-05-18,,L12107043O,mall
FAT-0001697,ANG-0000841,NIVF-3179909092,2026-04-11,2026-04-14,9674314.76,pranuar,2026-04-18,,M02325002F,pune
FAT-0001698,ANG-0000841,NIVF-3250042696,2026-05-01,2026-05-04,6349385.24,pranuar,2026-05-09,,M02325002F,pune
FAT-0001699,ANG-0000842,NIVF-7099652794,2026-04-04,2026-04-07,467890.0,pranuar,2026-04-13,,M11313029O,pune
