numri_urdherit_shpenzimit,numri_fatures,data_urdherit_shpenzimit,data_ekzekutimit_pageses,vlera_paguar_faktikisht,afati_aplikueshem_dite
URDH-0000961,FAT-0001055,2026-03-21,2026-03-23,85620.3,30
URDH-0000962,FAT-0001056,2026-04-15,2026-04-22,58297.34,30
URDH-0000963,FAT-0001057,2026-03-02,2026-03-02,10383.16,30
URDH-0000964,FAT-0001058,2026-04-28,2026-05-22,7116.84,30
URDH-0000965,FAT-0001059,2026-02-26,2026-03-06,4548663.72,30
URDH-0000966,FAT-0001060,2026-02-28,2026-02-28,934.1,30
URDH-0000967,FAT-0001061,2026-03-30,2026-03-30,146.16,30
URDH-0000968,FAT-0001062,2026-05-08,2026-05-08,13219.74,30
URDH-0000969,FAT-0001063,2026-02-22,2026-03-11,46650.43,30
URDH-0000970,FAT-0001064,2026-04-22,2026-04-22,202349.57,30
URDH-0000971,FAT-0001065,2026-03-08,2026-04-09,220054.48,30
URDH-0000972,FAT-0001066,2026-04-23,2026-05-29,196612.02,30
URDH-0000973,FAT-0001067,2026-02-16,2026-02-22,1050.61,30
URDH-0000974,FAT-0001068,2026-04-10,2026-04-10,3411.79,30
URDH-0000975,FAT-0001070,2026-03-07,2026-03-07,1440000.0,30
URDH-0000976,FAT-0001071,2026-03-05,2026-04-30,1200.0,30
URDH-0000977,FAT-0001072,2026-02-28,2026-03-28,225500.0,30
URDH-0000978,FAT-0001073,2026-03-04,2026-03-04,5130.72,30
URDH-0000979,FAT-0001074,2026-04-17,2026-04-17,18919.62,30
URDH-0000980,FAT-0001075,2026-05-20,2026-05-20,79787.67,30
URDH-0000981,FAT-0001076,2026-02-27,2026-02-27,7888.25,30
URDH-0000982,FAT-0001077,2026-04-23,2026-05-03,33041.65,30
URDH-0000983,FAT-0001078,2026-06-01,2026-07-21,59070.1,30
URDH-0000984,FAT-0001079,2026-02-23,2026-03-14,52250.29,30
URDH-0000985,FAT-0001080,2026-04-15,2026-04-23,155119.42,30
URDH-0000986,FAT-0001081,2026-06-15,2026-06-21,35730.29,30
URDH-0000987,FAT-0001082,2026-02-23,2026-02-28,246312.3,30
URDH-0000988,FAT-0001083,2026-04-15,2026-04-15,1762087.7,30
URDH-0000989,FAT-0001084,2026-03-03,2026-03-20,458156.38,30
URDH-0000990,FAT-0001085,2026-03-24,2026-03-31,989576.36,30
URDH-0000991,FAT-0001086,2026-02-23,2026-02-26,54500.0,30
URDH-0000992,FAT-0001087,2026-02-27,2026-03-06,64279.79,30
URDH-0000993,FAT-0001088,2026-04-03,2026-05-01,23200.21,30
URDH-0000994,FAT-0001089,2026-02-20,2026-03-03,69645.41,30
URDH-0000995,FAT-0001090,2026-04-25,2026-04-25,2465.95,30
URDH-0000996,FAT-0001091,2026-05-22,2026-05-31,25388.64,30
URDH-0000997,FAT-0001092,2026-03-04,2026-03-21,0.0,30
URDH-0000998,FAT-0001094,2026-05-15,2026-05-15,0.0,30
URDH-0000999,FAT-0001095,2026-02-26,2026-03-20,4708.64,30
URDH-0001000,FAT-0001096,2026-03-23,2026-03-28,24860.36,30
URDH-0001001,FAT-0001097,2026-03-01,2026-03-05,2644.13,30
URDH-0001002,FAT-0001098,2026-03-28,2026-03-28,55570.56,30
URDH-0001003,FAT-0001100,2026-02-25,2026-03-15,758234.13,30
URDH-0001004,FAT-0001101,2026-04-24,2026-05-06,1546023.94,30
URDH-0001005,FAT-0001102,2026-05-04,2026-05-18,7028596.93,30
URDH-0001006,FAT-0001103,2026-03-04,2026-03-22,262060.24,30
URDH-0001007,FAT-0001104,2026-03-19,2026-03-29,500862.56,30
URDH-0001008,FAT-0001105,2026-05-16,2026-07-04,139877.2,30
URDH-0001009,FAT-0001106,2026-02-21,2026-04-10,210912.07,30
URDH-0001010,FAT-0001107,2026-03-28,2026-04-14,399217.93,30
URDH-0001011,FAT-0001108,2026-02-28,2026-03-04,42687.57,30
URDH-0001012,FAT-0001109,2026-03-31,2026-04-01,53192.43,30
URDH-0001013,FAT-0001110,2026-02-27,2026-04-07,32005.45,30
URDH-0001014,FAT-0001112,2026-05-02,2026-05-17,24969.2,30
URDH-0001015,FAT-0001113,2026-02-27,2026-03-08,15400.0,30
URDH-0001016,FAT-0001115,2026-02-22,2026-03-13,837816.28,30
URDH-0001017,FAT-0001116,2026-03-19,2026-03-19,65312.44,30
URDH-0001018,FAT-0001118,2026-03-09,2026-03-09,1366200.0,30
URDH-0001019,FAT-0001119,2026-03-02,2026-04-08,8000.0,30
URDH-0001020,FAT-0001120,2026-03-03,2026-03-03,1265.38,30
URDH-0001021,FAT-0001121,2026-04-30,2026-05-04,46118.63,30
URDH-0001022,FAT-0001122,2026-06-07,2026-06-14,51815.99,30
URDH-0001023,FAT-0001124,2026-04-01,2026-04-10,3581.93,30
URDH-0001024,FAT-0001125,2026-05-26,2026-06-06,49444.58,30
URDH-0001025,FAT-0001126,2026-02-14,2026-03-01,331000.0,30
URDH-0001026,FAT-0001127,2026-03-03,2026-03-03,706750.82,30
URDH-0001027,FAT-0001128,2026-03-25,2026-03-25,576699.18,30
URDH-0001028,FAT-0001129,2026-03-05,2026-03-23,0.0,30
URDH-0001029,FAT-0001130,2026-03-01,2026-03-01,271625.0,30
URDH-0001030,FAT-0001131,2026-03-04,2026-03-12,316000.0,30
URDH-0001031,FAT-0001132,2026-03-03,2026-03-03,0.0,30
URDH-0001032,FAT-0001133,2026-03-07,2026-03-11,269520.0,30
URDH-0001033,FAT-0001134,2026-02-17,2026-02-26,65067.0,30
URDH-0001034,FAT-0001135,2026-04-06,2026-04-14,28267.0,30
URDH-0001035,FAT-0001136,2026-03-04,2026-03-04,633.89,30
URDH-0001036,FAT-0001137,2026-04-10,2026-04-22,13067.11,30
URDH-0001037,FAT-0001138,2026-05-24,2026-05-24,1098.99,30
URDH-0001038,FAT-0001139,2026-02-26,2026-03-05,304883.84,30
URDH-0001039,FAT-0001140,2026-04-21,2026-05-08,285216.16,30
URDH-0001040,FAT-0001141,2026-02-27,2026-02-27,27700.0,30
URDH-0001041,FAT-0001142,2026-02-27,2026-02-28,3240.0,30
URDH-0001042,FAT-0001143,2026-03-05,2026-03-05,98400.0,30
URDH-0001043,FAT-0001144,2026-03-09,2026-03-09,41600.0,30
URDH-0001044,FAT-0001145,2026-02-24,2026-03-05,363452.12,30
URDH-0001045,FAT-0001146,2026-03-27,2026-04-17,551447.88,30
URDH-0001046,FAT-0001147,2026-03-07,2026-03-07,67979.08,30
URDH-0001047,FAT-0001148,2026-05-03,2026-06-13,22020.92,30
URDH-0001048,FAT-0001150,2026-02-22,2026-02-22,72021.12,30
URDH-0001049,FAT-0001152,2026-05-07,2026-05-08,69439.25,30
URDH-0001050,FAT-0001153,2026-03-09,2026-03-09,99000.0,30
URDH-0001051,FAT-0001154,2026-03-03,2026-03-07,42980.99,30
URDH-0001052,FAT-0001155,2026-04-08,2026-04-16,30519.01,30
URDH-0001053,FAT-0001156,2026-03-04,2026-03-04,32995.78,30
URDH-0001054,FAT-0001157,2026-03-19,2026-03-19,235774.22,30
URDH-0001055,FAT-0001161,2026-03-09,2026-03-09,29280.28,30
URDH-0001056,FAT-0001162,2026-04-12,2026-04-14,34319.72,30
URDH-0001057,FAT-0001163,2026-03-14,2026-03-17,3.43,30
URDH-0001058,FAT-0001164,2026-03-29,2026-04-04,24.57,30
URDH-0001059,FAT-0001165,2026-03-05,2026-05-09,42337.03,30
URDH-0001060,FAT-0001166,2026-04-02,2026-04-02,38262.97,30
URDH-0001061,FAT-0001168,2026-03-08,2026-03-08,0.0,30
URDH-0001062,FAT-0001169,2026-04-25,2026-05-01,0.0,30
URDH-0001063,FAT-0001170,2026-06-25,2026-06-25,0.0,30
URDH-0001064,FAT-0001171,2026-02-23,2026-03-10,40913.01,30
URDH-0001065,FAT-0001172,2026-03-28,2026-04-11,28286.99,30
URDH-0001066,FAT-0001173,2026-03-02,2026-03-08,176075.0,30
URDH-0001067,FAT-0001174,2026-03-12,2026-03-17,103362.0,30
URDH-0001068,FAT-0001175,2026-03-02,2026-03-11,98472.21,30
URDH-0001069,FAT-0001176,2026-04-03,2026-04-03,1532957.79,30
URDH-0001070,FAT-0001177,2026-03-01,2026-03-19,0.0,30
URDH-0001071,FAT-0001178,2026-02-28,2026-03-13,527668.36,30
URDH-0001072,FAT-0001179,2026-03-21,2026-03-21,191581.64,30
URDH-0001073,FAT-0001180,2026-02-24,2026-02-24,254000.0,30
URDH-0001074,FAT-0001182,2026-04-11,2026-04-20,751041.59,30
URDH-0001075,FAT-0001183,2026-03-04,2026-03-04,4005000.0,30
URDH-0001076,FAT-0001184,2026-03-06,2026-03-17,28723.38,30
URDH-0001077,FAT-0001185,2026-03-26,2026-04-10,46125.38,30
URDH-0001078,FAT-0001186,2026-05-16,2026-05-21,25151.24,30
URDH-0001079,FAT-0001187,2026-03-10,2026-03-11,91283.19,30
URDH-0001080,FAT-0001188,2026-03-25,2026-05-17,83772.15,30
URDH-0001081,FAT-0001190,2026-02-24,2026-02-24,18702.97,30
URDH-0001082,FAT-0001191,2026-03-20,2026-03-26,4803.88,30
URDH-0001083,FAT-0001192,2026-04-23,2026-04-23,94643.15,30
URDH-0001084,FAT-0001193,2026-03-09,2026-03-09,275941.94,30
URDH-0001085,FAT-0001194,2026-04-28,2026-05-05,276496.31,30
URDH-0001086,FAT-0001195,2026-05-22,2026-06-10,182561.76,30
URDH-0001087,FAT-0001196,2026-03-12,2026-05-05,205167.5,30
URDH-0001088,FAT-0001197,2026-04-08,2026-04-13,26832.5,30
URDH-0001089,FAT-0001198,2026-03-05,2026-03-11,417328.0,30
URDH-0001090,FAT-0001200,2026-04-02,2026-04-26,986.25,30
URDH-0001091,FAT-0001201,2026-02-25,2026-03-05,825000.0,30
URDH-0001092,FAT-0001202,2026-02-26,2026-03-08,129385.73,30
URDH-0001093,FAT-0001203,2026-04-24,2026-05-05,57394.56,30
URDH-0001094,FAT-0001204,2026-06-20,2026-07-06,33219.71,30
URDH-0001095,FAT-0001205,2026-03-04,2026-03-06,99620.0,30
URDH-0001096,FAT-0001206,2026-03-06,2026-03-09,270289.73,30
URDH-0001097,FAT-0001207,2026-04-02,2026-04-02,34210.27,30
URDH-0001098,FAT-0001208,2026-03-01,2026-03-08,780000.0,30
URDH-0001099,FAT-0001210,2026-04-10,2026-04-17,0.0,30
URDH-0001100,FAT-0001211,2026-05-10,2026-05-22,0.0,30
URDH-0001101,FAT-0001212,2026-03-03,2026-03-18,16582.05,30
URDH-0001102,FAT-0001213,2026-04-06,2026-04-12,178576.48,30
URDH-0001103,FAT-0001215,2026-03-12,2026-03-12,62.42,30
URDH-0001104,FAT-0001216,2026-04-04,2026-04-04,199.09,30
URDH-0001105,FAT-0001217,2026-05-02,2026-05-18,1061.49,30
URDH-0001106,FAT-0001219,2026-03-09,2026-03-14,13524.22,30
URDH-0001107,FAT-0001220,2026-04-10,2026-04-29,1475.78,30
URDH-0001108,FAT-0001221,2026-03-17,2026-03-17,4166666.67,30
URDH-0001109,FAT-0001222,2026-03-06,2026-03-19,457880.35,30
URDH-0001110,FAT-0001223,2026-04-29,2026-05-07,40119.65,30
URDH-0001111,FAT-0001224,2026-03-04,2026-03-04,7423.12,30
URDH-0001112,FAT-0001225,2026-04-23,2026-05-02,67207.56,30
URDH-0001113,FAT-0001226,2026-05-18,2026-05-18,18369.32,30
URDH-0001114,FAT-0001227,2026-03-05,2026-03-08,93423.67,30
URDH-0001115,FAT-0001228,2026-04-11,2026-04-11,29383.73,30
URDH-0001116,FAT-0001229,2026-05-29,2026-06-03,266592.6,30
URDH-0001117,FAT-0001230,2026-03-05,2026-03-14,973.18,30
URDH-0001118,FAT-0001231,2026-04-07,2026-04-25,20427.68,30
URDH-0001119,FAT-0001232,2026-06-07,2026-06-17,70834.13,30
URDH-0001120,FAT-0001233,2026-03-22,2026-03-22,10687.98,30
URDH-0001121,FAT-0001234,2026-04-25,2026-04-25,54112.02,30
URDH-0001122,FAT-0001235,2026-03-22,2026-04-01,264600.0,30
URDH-0001123,FAT-0001237,2026-04-06,2026-04-06,323327.48,30
URDH-0001124,FAT-0001238,2026-03-07,2026-03-11,1815.69,30
URDH-0001125,FAT-0001239,2026-05-06,2026-05-06,1128.81,30
URDH-0001126,FAT-0001240,2026-03-05,2026-03-05,47573.45,30
URDH-0001127,FAT-0001241,2026-04-19,2026-05-01,2426.55,30
URDH-0001128,FAT-0001242,2026-03-20,2026-03-20,234923.99,30
URDH-0001129,FAT-0001243,2026-05-12,2026-07-16,1035576.01,30
URDH-0001130,FAT-0001244,2026-03-08,2026-03-08,295542.43,30
URDH-0001131,FAT-0001245,2026-05-02,2026-05-11,406998.62,30
URDH-0001132,FAT-0001246,2026-06-04,2026-06-12,795531.95,30
URDH-0001133,FAT-0001248,2026-04-29,2026-05-11,95103.61,30
URDH-0001134,FAT-0001249,2026-03-19,2026-03-22,0.0,30
URDH-0001135,FAT-0001250,2026-03-07,2026-04-21,57346.21,30
URDH-0001136,FAT-0001251,2026-04-14,2026-04-20,307403.54,30
URDH-0001137,FAT-0001252,2026-05-12,2026-05-22,45250.25,30
URDH-0001138,FAT-0001253,2026-03-09,2026-04-03,0.0,30
URDH-0001139,FAT-0001254,2026-05-09,2026-05-30,0.0,30
URDH-0001140,FAT-0001255,2026-03-08,2026-03-09,0.0,30
URDH-0001141,FAT-0001256,2026-05-05,2026-05-05,0.0,30
URDH-0001142,FAT-0001258,2026-03-22,2026-03-28,9777.07,30
URDH-0001143,FAT-0001259,2026-04-12,2026-04-12,1405.64,30
URDH-0001144,FAT-0001260,2026-06-14,2026-06-25,18941.8,30
URDH-0001145,FAT-0001261,2026-03-14,2026-03-14,136165.02,30
URDH-0001146,FAT-0001262,2026-04-09,2026-04-17,587455.92,30
URDH-0001147,FAT-0001264,2026-03-20,2026-05-20,40410.0,30
URDH-0001148,FAT-0001265,2026-03-17,2026-03-22,0.0,30
URDH-0001149,FAT-0001266,2026-03-18,2026-03-27,0.0,30
URDH-0001150,FAT-0001267,2026-03-23,2026-03-23,50789.69,30
URDH-0001151,FAT-0001268,2026-04-15,2026-04-22,615192.31,30
URDH-0001152,FAT-0001269,2026-03-17,2026-03-17,1861.87,30
URDH-0001153,FAT-0001270,2026-04-07,2026-05-28,56485.31,30
URDH-0001154,FAT-0001271,2026-05-10,2026-05-15,41652.82,30
URDH-0001155,FAT-0001272,2026-03-11,2026-03-20,47441.17,30
URDH-0001156,FAT-0001273,2026-05-01,2026-05-01,18308.46,30
URDH-0001157,FAT-0001274,2026-06-03,2026-06-10,9250.37,30
URDH-0001158,FAT-0001275,2026-03-08,2026-03-30,12585.89,30
URDH-0001159,FAT-0001276,2026-04-09,2026-04-09,632.65,30
URDH-0001160,FAT-0001277,2026-05-24,2026-05-24,39114.78,30
URDH-0001161,FAT-0001278,2026-03-12,2026-05-01,7466.19,30
URDH-0001162,FAT-0001279,2026-04-16,2026-04-16,20814.62,30
URDH-0001163,FAT-0001280,2026-05-27,2026-06-08,39219.19,30
URDH-0001164,FAT-0001281,2026-03-17,2026-03-18,231650.9,30
URDH-0001165,FAT-0001282,2026-05-17,2026-06-02,64349.1,30
URDH-0001166,FAT-0001283,2026-03-11,2026-03-23,265823.44,30
URDH-0001167,FAT-0001284,2026-04-26,2026-04-27,184416.23,30
URDH-0001168,FAT-0001285,2026-06-03,2026-06-11,529760.33,30
URDH-0001169,FAT-0001286,2026-03-14,2026-03-14,33828.0,30
URDH-0001170,FAT-0001287,2026-05-03,2026-05-11,66172.0,30
URDH-0001171,FAT-0001288,2026-03-24,2026-03-24,115000.0,30
URDH-0001172,FAT-0001289,2026-03-27,2026-03-27,0.0,30
URDH-0001173,FAT-0001290,2026-04-22,2026-05-09,0.0,30
URDH-0001174,FAT-0001291,2026-05-26,2026-05-26,0.0,30
URDH-0001175,FAT-0001292,2026-03-21,2026-04-28,68698.35,30
URDH-0001176,FAT-0001293,2026-04-26,2026-04-26,53301.65,30
URDH-0001177,FAT-0001294,2026-03-15,2026-03-22,0.0,30
URDH-0001178,FAT-0001295,2026-04-08,2026-04-09,0.0,30
URDH-0001179,FAT-0001296,2026-06-02,2026-06-15,0.0,30
URDH-0001180,FAT-0001297,2026-03-17,2026-03-17,12518.63,30
URDH-0001181,FAT-0001298,2026-04-30,2026-05-13,135381.37,30
URDH-0001182,FAT-0001299,2026-03-15,2026-03-15,2177542.03,30
URDH-0001183,FAT-0001300,2026-04-28,2026-04-28,261815.05,30
URDH-0001184,FAT-0001301,2026-06-15,2026-06-18,1040642.92,30
URDH-0001185,FAT-0001302,2026-03-28,2026-03-28,196520.11,30
URDH-0001186,FAT-0001303,2026-05-16,2026-06-07,787918.84,30
URDH-0001187,FAT-0001305,2026-03-20,2026-03-26,43917.22,30
URDH-0001188,FAT-0001306,2026-05-11,2026-05-11,24811.73,30
URDH-0001189,FAT-0001307,2026-07-13,2026-07-14,10471.05,30
URDH-0001190,FAT-0001308,2026-03-14,2026-04-18,59691.23,30
URDH-0001191,FAT-0001309,2026-05-01,2026-05-05,18383.77,30
URDH-0001192,FAT-0001310,2026-03-13,2026-03-26,719000.0,30
URDH-0001193,FAT-0001311,2026-03-16,2026-03-28,171227.47,30
URDH-0001194,FAT-0001312,2026-05-13,2026-05-13,12859.49,30
URDH-0001195,FAT-0001313,2026-06-30,2026-06-30,536599.04,30
URDH-0001196,FAT-0001314,2026-03-23,2026-04-08,13996.0,30
URDH-0001197,FAT-0001315,2026-05-02,2026-05-14,86996.83,30
URDH-0001198,FAT-0001316,2026-06-06,2026-06-20,159007.17,30
URDH-0001199,FAT-0001317,2026-03-16,2026-04-24,6086.86,30
URDH-0001200,FAT-0001318,2026-05-07,2026-05-20,8613.14,30
URDH-0001201,FAT-0001319,2026-03-27,2026-04-04,80508.84,30
URDH-0001202,FAT-0001320,2026-05-19,2026-07-09,135491.16,30
URDH-0001203,FAT-0001321,2026-03-06,2026-03-06,11878.17,30
URDH-0001204,FAT-0001322,2026-04-19,2026-05-26,3021.83,30
URDH-0001205,FAT-0001323,2026-03-19,2026-05-12,997500.0,30
URDH-0001206,FAT-0001324,2026-03-23,2026-04-10,10296.99,30
URDH-0001207,FAT-0001325,2026-04-20,2026-04-25,2765.19,30
URDH-0001208,FAT-0001326,2026-06-12,2026-08-03,110912.82,30
URDH-0001209,FAT-0001327,2026-03-26,2026-03-30,26213.41,30
URDH-0001210,FAT-0001329,2026-05-28,2026-05-28,460.52,30
URDH-0001211,FAT-0001330,2026-03-27,2026-05-05,48142.39,30
URDH-0001212,FAT-0001331,2026-04-28,2026-05-03,34857.61,30
URDH-0001213,FAT-0001333,2026-05-02,2026-05-02,125609.86,30
URDH-0001214,FAT-0001334,2026-05-30,2026-06-16,173586.71,30
URDH-0001215,FAT-0001335,2026-03-15,2026-03-28,25969.07,30
URDH-0001216,FAT-0001336,2026-05-03,2026-05-28,37672.75,30
URDH-0001217,FAT-0001337,2026-06-13,2026-06-13,34358.18,30
URDH-0001218,FAT-0001338,2026-03-31,2026-03-31,18758.8,30
URDH-0001219,FAT-0001339,2026-05-20,2026-06-20,12491.2,30
URDH-0001220,FAT-0001340,2026-03-24,2026-05-26,269245.23,30
URDH-0001221,FAT-0001341,2026-04-23,2026-05-01,160498.56,30
URDH-0001222,FAT-0001342,2026-03-19,2026-03-21,169540.0,30
URDH-0001223,FAT-0001343,2026-03-19,2026-04-07,464698.27,30
URDH-0001224,FAT-0001345,2026-05-01,2026-05-01,27667.7,30
URDH-0001225,FAT-0001346,2026-05-14,2026-06-01,2080.58,30
URDH-0001226,FAT-0001347,2026-03-14,2026-04-23,452219.92,30
URDH-0001227,FAT-0001348,2026-04-15,2026-04-18,1073646.68,30
URDH-0001228,FAT-0001349,2026-06-03,2026-07-22,133333.4,30
URDH-0001229,FAT-0001350,2026-03-16,2026-03-16,73252.85,30
URDH-0001230,FAT-0001351,2026-05-12,2026-06-22,26747.15,30
URDH-0001231,FAT-0001352,2026-04-01,2026-04-07,100000.0,30
URDH-0001232,FAT-0001353,2026-03-14,2026-03-19,346854.71,30
URDH-0001233,FAT-0001354,2026-04-26,2026-05-16,190145.29,30
URDH-0001234,FAT-0001355,2026-03-29,2026-03-30,14247.61,30
URDH-0001235,FAT-0001356,2026-05-27,2026-05-27,752.39,30
URDH-0001236,FAT-0001357,2026-03-26,2026-04-04,11256.41,30
URDH-0001237,FAT-0001359,2026-06-22,2026-06-22,3386.31,30
URDH-0001238,FAT-0001360,2026-04-01,2026-04-05,10654956.53,30
URDH-0001239,FAT-0001361,2026-04-22,2026-05-12,32486407.86,30
URDH-0001240,FAT-0001362,2026-06-23,2026-06-23,4808910.01,30
URDH-0001241,FAT-0001363,2026-03-16,2026-03-16,5300.93,30
URDH-0001242,FAT-0001364,2026-04-25,2026-04-25,13022.07,30
URDH-0001243,FAT-0001365,2026-04-04,2026-05-08,100000.0,30
URDH-0001244,FAT-0001366,2026-03-28,2026-04-11,13900.49,30
URDH-0001245,FAT-0001367,2026-05-05,2026-05-09,8519.51,30
URDH-0001246,FAT-0001368,2026-03-24,2026-03-27,420000.0,30
URDH-0001247,FAT-0001369,2026-03-25,2026-04-02,546676.62,30
URDH-0001248,FAT-0001370,2026-04-19,2026-04-26,53322.38,30
URDH-0001249,FAT-0001371,2026-03-29,2026-04-06,36677.29,30
URDH-0001250,FAT-0001373,2026-03-22,2026-03-22,81226.13,30
URDH-0001251,FAT-0001374,2026-04-12,2026-04-19,412863.33,30
URDH-0001252,FAT-0001377,2026-05-09,2026-05-09,157815.35,30
URDH-0001253,FAT-0001378,2026-06-28,2026-07-01,123629.36,30
URDH-0001254,FAT-0001379,2026-03-29,2026-05-09,246240.0,30
URDH-0001255,FAT-0001380,2026-03-23,2026-05-22,15.25,30
URDH-0001256,FAT-0001381,2026-05-24,2026-06-11,53.56,30
URDH-0001257,FAT-0001383,2026-03-21,2026-03-21,88702.49,30
URDH-0001258,FAT-0001384,2026-05-01,2026-05-01,10797.51,30
URDH-0001259,FAT-0001385,2026-03-25,2026-03-26,45224.77,30
URDH-0001260,FAT-0001386,2026-04-23,2026-04-23,54575.23,30
URDH-0001261,FAT-0001387,2026-03-20,2026-03-21,0.0,30
URDH-0001262,FAT-0001388,2026-03-19,2026-03-24,0.0,30
URDH-0001263,FAT-0001389,2026-03-17,2026-04-01,6490.0,30
URDH-0001264,FAT-0001390,2026-03-27,2026-05-05,8260660.0,30
URDH-0001265,FAT-0001391,2026-03-22,2026-03-22,115559.69,30
URDH-0001266,FAT-0001392,2026-05-09,2026-05-24,506783.45,30
URDH-0001267,FAT-0001393,2026-07-05,2026-07-05,25656.86,30
URDH-0001268,FAT-0001394,2026-03-29,2026-04-11,525000.0,30
URDH-0001269,FAT-0001395,2026-03-25,2026-04-12,54701.1,30
URDH-0001270,FAT-0001396,2026-04-27,2026-05-01,166698.9,30
URDH-0001271,FAT-0001397,2026-04-01,2026-04-14,22500000.0,30
URDH-0001272,FAT-0001398,2026-03-23,2026-04-02,4887100.0,30
URDH-0001273,FAT-0001399,2026-03-21,2026-03-29,98383.0,30
URDH-0001274,FAT-0001400,2026-03-25,2026-03-31,144600.0,30
URDH-0001275,FAT-0001401,2026-03-24,2026-04-13,52967.37,30
URDH-0001276,FAT-0001402,2026-04-22,2026-04-22,102032.63,30
URDH-0001277,FAT-0001403,2026-03-29,2026-05-03,148446.35,30
URDH-0001278,FAT-0001404,2026-05-09,2026-05-15,39470.7,30
URDH-0001279,FAT-0001406,2026-04-05,2026-04-05,90000.0,30
URDH-0001280,FAT-0001407,2026-03-25,2026-04-09,516416.55,30
URDH-0001281,FAT-0001408,2026-04-04,2026-04-25,178583.45,30
URDH-0001282,FAT-0001409,2026-03-30,2026-04-03,331373.03,30
URDH-0001283,FAT-0001410,2026-05-13,2026-05-13,292582.71,30
URDH-0001284,FAT-0001411,2026-06-26,2026-08-21,347741.46,30
URDH-0001285,FAT-0001412,2026-04-05,2026-05-10,135811.75,30
URDH-0001286,FAT-0001413,2026-05-04,2026-05-04,14088.25,30
URDH-0001287,FAT-0001414,2026-03-28,2026-04-08,130000.0,30
URDH-0001288,FAT-0001416,2026-05-22,2026-05-23,11788752.91,30
URDH-0001289,FAT-0001417,2026-07-13,2026-07-16,2378038.57,30
URDH-0001290,FAT-0001418,2026-03-25,2026-04-09,26800.0,30
URDH-0001291,FAT-0001419,2026-04-01,2026-04-17,27500.0,30
URDH-0001292,FAT-0001422,2026-04-23,2026-04-23,61822.16,30
URDH-0001293,FAT-0001423,2026-05-23,2026-05-23,15559.59,30
URDH-0001294,FAT-0001424,2026-03-29,2026-05-23,955152.01,30
URDH-0001295,FAT-0001425,2026-05-18,2026-05-24,1194737.99,30
URDH-0001296,FAT-0001427,2026-03-30,2026-03-30,252074.45,30
URDH-0001297,FAT-0001428,2026-05-05,2026-05-11,108823.19,30
URDH-0001298,FAT-0001429,2026-06-05,2026-06-14,19102.36,30
URDH-0001299,FAT-0001431,2026-05-28,2026-07-04,92147.5,30
URDH-0001300,FAT-0001432,2026-03-26,2026-03-31,49252.17,30
URDH-0001301,FAT-0001433,2026-04-20,2026-04-20,22424.27,30
URDH-0001302,FAT-0001434,2026-06-15,2026-06-21,28293.56,30
URDH-0001303,FAT-0001435,2026-03-26,2026-04-06,558.53,30
URDH-0001304,FAT-0001436,2026-05-07,2026-05-07,61441.47,30
URDH-0001305,FAT-0001437,2026-04-02,2026-04-02,48626.93,30
URDH-0001306,FAT-0001438,2026-05-21,2026-05-21,584.96,30
URDH-0001307,FAT-0001439,2026-06-26,2026-06-27,788.11,30
URDH-0001308,FAT-0001440,2026-03-30,2026-04-04,258.43,30
URDH-0001309,FAT-0001441,2026-05-28,2026-06-24,12588.83,30
URDH-0001310,FAT-0001442,2026-07-09,2026-07-10,652.73,30
URDH-0001311,FAT-0001443,2026-04-03,2026-04-03,245000.0,30
URDH-0001312,FAT-0001444,2026-04-04,2026-04-09,222465.93,30
URDH-0001313,FAT-0001445,2026-05-10,2026-05-27,93839.74,30
URDH-0001314,FAT-0001446,2026-06-27,2026-06-27,111782.33,30
URDH-0001315,FAT-0001447,2026-03-27,2026-04-01,0.0,30
URDH-0001316,FAT-0001448,2026-03-18,2026-03-31,46885.26,30
URDH-0001317,FAT-0001449,2026-05-10,2026-05-17,67805.0,30
URDH-0001318,FAT-0001450,2026-06-09,2026-06-28,5309.74,30
URDH-0001319,FAT-0001451,2026-03-23,2026-05-10,93.08,30
URDH-0001320,FAT-0001452,2026-05-28,2026-05-29,302.86,30
URDH-0001321,FAT-0001453,2026-07-10,2026-07-10,604.06,30
URDH-0001322,FAT-0001454,2026-04-03,2026-04-03,91050.32,30
URDH-0001323,FAT-0001455,2026-05-08,2026-05-16,7699.68,30
URDH-0001324,FAT-0001456,2026-04-04,2026-04-04,724375.0,30
URDH-0001325,FAT-0001457,2026-03-21,2026-04-03,11045.71,30
URDH-0001326,FAT-0001458,2026-04-26,2026-05-07,12954.29,30
URDH-0001327,FAT-0001459,2026-03-22,2026-03-24,75321.33,30
URDH-0001328,FAT-0001460,2026-05-05,2026-05-23,24678.67,30
URDH-0001329,FAT-0001461,2026-03-29,2026-03-29,526935.86,30
URDH-0001330,FAT-0001462,2026-04-23,2026-04-23,1594216.88,30
URDH-0001331,FAT-0001463,2026-05-26,2026-05-26,338847.25,30
URDH-0001332,FAT-0001464,2026-03-30,2026-04-24,208000.0,30
URDH-0001333,FAT-0001465,2026-03-30,2026-03-30,66596.0,30
URDH-0001334,FAT-0001466,2026-04-08,2026-04-19,62500.0,30
URDH-0001335,FAT-0001467,2026-04-09,2026-04-20,24248.37,30
URDH-0001336,FAT-0001468,2026-05-14,2026-05-14,28284.6,30
